Episode,QL_Rewards,SARSA_Rewards,QL_Steps,SARSA_Steps
1,-1175.0,-1395.0,500,500
2,-1105.0,-1270.0,500,500
3,-1415.0,-1210.0,500,500
4,-1285.0,-1265.0,500,500
5,-1265.0,-1300.0,500,500
6,-1255.0,-1280.0,500,500
7,-1290.0,-1390.0,500,500
8,-1195.0,-1180.0,500,500
9,-1280.0,-1255.0,500,500
10,-1285.0,-1175.0,500,500
11,-1305.0,-1190.0,500,500
12,-1175.0,-1360.0,500,500
13,-1440.0,-1350.0,500,500
14,-1130.0,-1190.0,500,500
15,-1130.0,-1240.0,500,500
16,-1215.0,-1340.0,500,500
17,-1150.0,-1410.0,500,500
18,-1410.0,-1355.0,500,500
19,-1100.0,-1215.0,500,500
20,-1205.0,-1260.0,500,500
21,-1295.0,-1270.0,500,500
22,-1430.0,-965.0,500,500
23,-1405.0,-1270.0,500,500
24,-1165.0,-1315.0,500,500
25,-1285.0,-1380.0,500,500
26,-1165.0,-1280.0,500,500
27,-1255.0,-1375.0,500,500
28,-1290.0,-1190.0,500,500
29,-1135.0,-1225.0,500,500
30,-1320.0,-1395.0,500,500
31,-1145.0,-1120.0,500,500
32,-1275.0,-1190.0,500,500
33,-1080.0,-1315.0,500,500
34,-1220.0,-1065.0,500,500
35,-1260.0,-1300.0,500,500
36,-1135.0,-1120.0,500,500
37,-970.0,-1255.0,500,500
38,-1175.0,-1195.0,500,500
39,-1245.0,-1145.0,500,500
40,-662.0,-1105.0,332,500
41,-1090.0,-1350.0,500,500
42,-1195.0,-1305.0,500,500
43,-980.0,-1060.0,500,500
44,-1125.0,-1145.0,500,500
45,-1230.0,-1150.0,500,500
46,-1135.0,-1140.0,500,500
47,-600.0,-1010.0,330,500
48,-1090.0,-1225.0,500,500
49,-995.0,-1150.0,500,500
50,-1110.0,-1110.0,500,500
51,-1090.0,-1250.0,500,500
52,-1125.0,-1080.0,500,500
53,-990.0,-1030.0,500,500
54,-1205.0,-1155.0,500,500
55,-1120.0,-1175.0,500,500
56,-1050.0,-1165.0,500,500
57,-1130.0,-1120.0,500,500
58,-1140.0,-1320.0,500,500
59,-1085.0,-1140.0,500,500
60,-1260.0,-910.0,500,500
61,-1095.0,-770.0,500,390
62,-1145.0,-1165.0,500,500
63,-1025.0,-1170.0,500,500
64,-1115.0,-1010.0,500,500
65,-1145.0,-1155.0,500,500
66,-1080.0,-1355.0,500,500
67,-1085.0,-1145.0,500,500
68,-1005.0,-1020.0,500,500
69,-1060.0,-1165.0,500,500
70,-930.0,-1140.0,500,500
71,-965.0,-1185.0,500,500
72,-1010.0,-1100.0,500,500
73,-1045.0,-1035.0,500,500
74,-965.0,-1105.0,500,500
75,-1100.0,-1250.0,500,500
76,-1040.0,-1135.0,500,500
77,-1035.0,-1130.0,500,500
78,-1220.0,-1110.0,500,500
79,-1000.0,-1105.0,500,500
80,-1065.0,-855.0,500,500
81,-995.0,-1050.0,500,500
82,-1010.0,-1025.0,500,500
83,-975.0,-1140.0,500,500
84,-980.0,-955.0,500,500
85,-1120.0,-1125.0,500,500
86,-980.0,-940.0,500,500
87,-1100.0,-1090.0,500,500
88,-1020.0,-1035.0,500,500
89,-1065.0,-1035.0,500,500
