Episode,Linear_Reward,Exponential_Reward
1,-4557,-35122
2,-11397,-7800
3,-24282,-9864
4,-920,-6347
5,-13761,-3915
6,-23602,-30216
7,-3697,-6436
8,-4018,-11716
9,-11692,-4419
10,-2628,-15923
11,-7085,-3619
12,-3656,-14584
13,-9141,-7686
14,-4244,-945
15,-23532,-11633
16,-8882,-9271
17,-18616,-6024
18,-3105,-7007
19,-5863,-6775
20,-17871,-3092
21,-5271,-10005
22,-24718,-9240
23,-17622,-8630
24,-14546,-3275
25,-6207,-6493
26,-22727,-1434
27,-8068,-4175
28,-8562,-809
29,-2560,-4938
30,-3012,-2218
31,-21696,-2678
32,-22731,-2332
33,-4165,-7838
34,-9946,-2338
35,-3320,-2613
36,-17494,-4763
37,-3508,-2278
38,-5863,-849
39,-8234,-7767
40,-10327,-1188
41,-5632,-5009
42,-649,-6704
43,-6970,-360
44,-27193,-2724
45,-13323,-11003
46,-10530,-7496
47,-8961,-4358
48,-5657,-9190
49,-7126,-1688
50,-3257,-5549
51,-17173,-4678
52,-3921,-2297
53,-6288,-3237
54,-6746,-2186
55,-14208,-3236
56,-4769,-2103
57,-5024,-7366
58,-11498,-1303
59,-3939,-1905
60,-6935,-1013
61,-2199,-1761
62,-2223,-2912
63,-4244,-2998
64,-7787,-2184
65,-4966,-2998
66,-20081,-3401
67,-2305,-1877
68,-3425,-2622
69,-7610,-2033
70,-8713,-593
71,-7907,-2000
72,-972,-1736
73,-6461,-2017
74,-4357,-3328
75,-13303,-2110
76,-1245,-3395
77,-8051,-6512
78,-4167,-4021
79,-1629,-2443
80,-6203,-5612
81,-4014,-1211
82,-5567,-1430
83,-2456,-14009
84,-4001,-2357
85,-20638,-2472
86,-1059,-1186
87,-1601,-933
88,-2731,-1352
89,-6217,-620
90,-4482,-982
91,-2565,-2719
92,-1439,-757
93,-1120,-1871
94,-1644,-5183
95,-7466,-1234
96,-2433,-4266
97,-7242,-131
98,-7091,-1893
99,-4410,-3452
100,-4655,-3333
101,-1937,-1076
102,-3360,-1596
103,-2604,-2600
104,-4657,-4185
105,-2738,-2516
106,-2213,-1197
107,-3819,-1542
108,-1552,-2435
109,-2776,-413
110,-2124,-1948
111,-15496,-1164
112,-3542,-1432
113,-9090,-659
114,-1393,-659
115,-886,-254
116,-1988,-88
117,-3909,-2268
118,-1534,-2634
119,-2343,-208
120,-626,-501
121,-3006,-1339
122,-1949,-3612
123,-7420,-2186
124,-5408,-858
125,-3052,-409
126,-4369,-903
127,-1208,-1498
128,-2217,-1135
129,-566,-199
130,-6735,-756
131,-5867,-593
132,-1700,-1186
133,-1737,-2332
134,-6349,-738
135,-2793,-324
136,-2151,-597
137,-4745,-667
138,-4992,-1328
139,-1228,-441
140,-2167,-1375
141,-2984,-1274
142,-926,-1619
143,-630,-1012
144,-7447,-1154
145,-3355,-627
146,-2153,-302
147,-1091,-166
148,-1842,-1365
149,-1005,-2637
150,-2976,-2444
151,-1693,-1343
152,-3738,-1651
153,-395,-2353
154,-1025,-966
155,-276,-1517
156,-9366,-846
157,-11379,-1313
158,-1143,-1807
159,-5878,-14
160,-3161,-2109
161,-2387,-78
162,-1222,-513
163,-1401,-721
164,-2997,-336
165,-1354,-595
166,-6671,-976
167,-3373,-1371
168,-1436,-98
169,-1007,-64
170,-1609,-147
171,-970,-428
172,-1592,-185
173,-5621,-2473
174,-2236,-1444
175,-1195,-213
176,-957,-464
177,-2312,-557
178,-1963,-566
179,-1128,-519
180,-2321,-503
181,-3728,-1005
182,-1034,-512
183,-445,-2406
184,-2589,-725
185,-765,-776
186,-318,-222
187,-496,-654
188,-759,-51
189,-1055,-1199
190,-1869,-971
191,-1200,-576
192,-2501,-1099
193,-3758,-301
194,-698,-381
195,-1268,-483
196,-408,-760
197,-1430,-1044
198,-378,-514
199,-497,-236
200,-753,-428
201,-4658,-1557
202,-547,-1262
203,-2460,-1243
204,-357,-244
205,-1197,-2
206,-5992,-730
207,-2488,-810
208,-1200,-1079
209,-350,-20
210,-407,-272
211,-996,-248
212,-421,-683
213,-735,-325
214,-184,-496
215,-1178,-591
216,-1308,-160
217,-387,-109
218,-2444,-622
219,-735,-441
220,-722,-148
221,-2521,-1147
222,-1249,-238
223,-1487,-179
224,-2276,-1729
225,-1133,-60
226,-2030,-1435
227,-689,-699
228,-1148,-1001
229,-746,-639
230,-873,-354
231,-716,-279
232,-2892,-1871
233,-601,-114
234,-749,16
235,-1236,-850
236,-222,-991
237,-298,-223
238,-4204,-499
239,-290,-512
240,-1488,-170
241,-3161,-945
242,-507,-1288
243,-1036,-2162
244,-971,-61
245,-305,-142
246,-548,-551
247,-1264,-1236
248,-2031,-281
249,-1048,-422
250,-1100,-337
251,-2000,-1474
252,-725,-768
253,-392,-953
254,-2643,-180
255,-425,-266
256,-332,-303
257,-620,-568
258,-187,-336
259,-599,-806
260,-885,-64
261,-1025,-101
262,-1312,-332
263,-3327,-2223
264,-300,-154
265,-847,-279
266,-216,-322
267,-1826,-563
268,-68,-1169
269,-766,-1610
270,-1401,-564
271,-488,-694
272,-309,-137
273,-1989,-317
274,-1056,-485
275,-736,-571
276,-1396,-558
277,-1629,-278
278,-2210,-678
279,-291,-1191
280,-1387,-368
281,-721,-137
282,-1381,-481
283,-932,-521
284,-2263,-706
285,-553,-703
286,-1031,-319
287,-538,-12
288,-306,-917
289,-565,-378
290,-2289,-612
291,-3763,-637
292,-192,-447
293,-1412,-223
294,-380,-183
295,-754,-327
296,-76,-758
297,-68,-281
298,-440,-951
299,-340,-1285
300,-1250,-471
301,-374,-1106
302,-651,-1600
303,-120,-2483
304,-77,-610
305,-877,-415
306,-1015,-569
307,-1107,-919
308,-424,-1037
309,-810,-189
310,-513,-570
311,-357,-498
312,-1510,-116
313,-904,-1336
314,-809,-1253
315,-187,-1743
316,-1010,-52
317,-481,-1769
318,-158,-1098
319,-265,-48
320,-1271,-732
321,-535,-36
322,-299,-1969
323,-509,-868
324,-377,-1689
325,-1153,-78
326,-440,-460
327,-168,-760
328,-110,-651
329,-473,-456
330,-391,-1410
331,-177,-551
332,-833,-268
333,-1243,-369
334,-162,-1185
335,-539,-955
336,-1664,-478
337,-539,-477
338,-287,-160
339,-2145,-614
340,-578,-70
341,-172,-118
342,-337,-94
343,-488,-457
344,-352,-233
345,-430,-102
346,-176,-456
347,-1730,-326
348,-301,-679
349,-35,-1138
350,-907,-112
351,-292,-620
352,-118,-272
353,-44,-408
354,-351,-794
355,-137,-295
356,-328,-178
357,-230,-404
358,-1274,-288
359,-1326,-454
360,-401,-401
361,-647,-188
362,-1064,-1329
363,-1475,-888
364,-1529,-221
365,-957,-292
366,-573,-518
367,-416,-234
368,-425,4
369,-18,-114
370,-301,-122
371,-1996,-516
372,-894,-964
373,-379,-312
374,-112,-126
375,-74,-230
376,-602,-484
377,-933,-367
378,-542,-534
379,-267,-1837
380,-134,-370
381,-136,14
382,-132,-410
383,-180,-184
384,-355,-469
385,-258,-755
386,-151,-1089
387,-549,-58
388,-191,-594
389,-179,-696
390,-90,-4
391,-217,-232
392,-28,-38
393,-287,-219
394,-580,-160
395,-874,-754
396,-296,-255
397,-369,-351
398,-227,-618
399,-1100,-461
400,-661,-348
401,-198,-22
402,-252,-900
403,-540,-351
404,-336,-142
405,-1758,-22
406,-585,-236
407,-241,-78
408,-383,-208
409,-137,-4
410,-102,-230
411,-239,-184
412,-548,-130
413,-585,-306
414,-420,-160
415,-763,-679
416,-352,-442
417,22,-416
418,-1385,-542
419,-252,-526
420,-610,-898
421,-1021,-308
422,-92,-216
423,-459,-256
424,-2081,-184
425,-173,-56
426,-241,-335
427,-944,-612
428,-158,-1009
429,-205,-398
430,-275,-108
431,-310,-92
432,-976,-52
433,-62,-345
434,-20,-393
435,-268,-864
436,-791,-173
437,-108,-786
438,-221,54
439,-463,-112
440,-289,-942
441,-589,-392
442,-98,-271
443,-435,-30
444,16,-46
445,-62,28
446,-40,-98
447,-149,-121
448,-731,-673
449,-326,-134
450,-561,-440
451,-1185,-257
452,-2,-296
453,-114,-288
454,-253,-179
455,-1540,-231
456,-502,-58
457,-143,-192
458,-266,36
459,-255,-32
460,-1588,-10
461,-428,-626
