Episode,Sparse_Rewards,Shaped_Rewards,Sparse_Steps,Shaped_Steps
1,-1305.0,-684.8999999999999,500,500
2,-1220.0,-518.1999999999999,500,500
3,-1345.0,-392.0000000000002,500,500
4,-1315.0,-686.5000000000003,500,500
5,-254.0,-95.60000000000005,174,174
6,-1280.0,-828.1000000000003,500,500
7,-396.0,-212.9999999999999,241,241
8,-1290.0,-838.6000000000003,500,500
9,-1165.0,-710.5000000000015,500,500
10,-1260.0,-791.1999999999991,500,500
11,-987.0,-976.1999999999994,487,500
12,-1305.0,-595.6000000000008,500,500
13,-1310.0,-106.9000000000002,500,247
14,-622.0,-556.1999999999994,362,500
15,-955.0,-583.8000000000006,500,500
16,-832.0,-692.2999999999998,417,500
17,-1110.0,-329.30000000000024,500,413
18,-792.0,-621.7000000000004,392,500
19,-1010.0,-812.4999999999987,500,500
20,-1310.0,-404.7999999999997,500,473
21,-1125.0,-69.29999999999993,500,190
22,-932.0,-46.90000000000042,397,500
23,-1060.0,-266.49999999999966,500,207
24,-1360.0,-456.90000000000055,500,459
25,-704.0,-566.499999999999,349,500
26,-1210.0,-239.6000000000002,500,402
27,-1250.0,-537.3999999999994,500,500
28,-1210.0,-629.4999999999989,500,500
29,-1065.0,-608.2,500,500
30,-1095.0,-412.20000000000005,500,500
31,-1175.0,-386.00000000000045,500,500
32,-1145.0,-750.3000000000001,500,500
33,-1080.0,-446.2000000000007,500,444
34,-1260.0,-579.1000000000009,500,500
35,-1050.0,-257.40000000000043,500,427
36,-1095.0,-932.2000000000011,500,500
37,-790.0,-379.20000000000056,405,500
38,-1055.0,-59.40000000000006,500,258
39,-1195.0,-78.69999999999996,500,143
40,-1045.0,-139.00000000000009,500,224
41,-1040.0,-469.2000000000002,500,500
42,-1065.0,-115.60000000000005,500,339
43,-1250.0,-579.2999999999993,500,500
44,-940.0,-527.5000000000002,500,500
45,-430.0,-480.7999999999997,245,500
46,-1060.0,-125.00000000000011,500,217
47,-1020.0,-154.09999999999982,500,368
48,-1055.0,-340.4000000000001,500,500
49,-1115.0,-7.000000000000114,500,154
50,-1275.0,-380.7000000000005,500,442
51,-1055.0,-252.7000000000002,500,500
52,-1145.0,-231.8999999999998,500,297
53,-1040.0,-417.80000000000024,500,500
54,-1065.0,-512.2000000000004,500,500
55,-1255.0,-44.30000000000001,500,185
56,-1125.0,-179.90000000000023,500,500
57,-905.0,-77.5000000000002,500,321
58,-1265.0,-511.60000000000025,500,500
59,-1085.0,-30.89999999999992,500,229
60,-373.0,-288.6000000000003,208,452
61,-880.0,-276.00000000000034,500,388
62,-979.0,-180.10000000000008,444,274
63,-1100.0,-23.100000000000136,500,239
64,-950.0,-461.20000000000005,500,500
65,-1205.0,-150.8,500,209
66,-433.0,-162.20000000000005,253,299
67,-1025.0,12.899999999999991,500,173
68,-1045.0,-260.9999999999999,500,317
69,-1135.0,-294.99999999999994,500,494
70,-1070.0,-103.20000000000016,500,388
71,-1190.0,-221.80000000000024,500,360
72,-1085.0,-2.9999999999999147,500,176
73,-940.0,-101.60000000000002,500,161
74,-985.0,-216.30000000000018,500,348
75,-1030.0,-155.6000000000004,500,428
