Episode,Rewards,Steps,Success
1,-717,411,1
2,-864,500,0
3,-1130,500,0
4,-1023,500,0
5,-1214,500,0
6,-1259,500,0
7,-565,351,1
8,-1276,500,0
9,-1262,500,0
10,-1129,500,0
11,-1245,500,0
12,-1209,500,0
13,-1193,500,0
14,-1137,500,0
15,-1058,500,0
16,-743,347,1
17,-903,440,1
18,-914,500,0
19,-1001,500,0
20,-1057,500,0
21,-629,307,1
22,-703,392,1
23,-1065,500,0
24,-1311,500,0
25,-1152,500,0
26,-614,417,1
27,-949,500,0
28,-1129,500,0
29,-994,500,0
30,-1343,500,0
31,-1221,500,0
32,-1141,500,0
33,-953,500,0
34,-946,500,0
35,-1028,500,0
36,-979,500,0
37,-1069,500,0
38,-707,278,1
39,-312,272,1
40,-874,452,1
41,-976,500,0
42,-1033,500,0
43,-1185,500,0
44,-427,269,1
45,-1141,500,0
46,-631,318,1
47,-1364,500,0
48,-943,483,1
49,-970,500,0
50,-465,246,1
51,-962,500,0
52,-921,500,0
53,-1043,500,0
54,-836,500,0
55,-431,278,1
56,-699,377,1
57,-914,500,0
58,-1283,500,0
59,-1172,500,0
60,-1102,500,0
61,-951,500,0
62,-517,315,1
63,-674,405,1
64,-495,341,1
65,-756,487,1
66,-1078,500,0
67,-844,398,1
68,-975,500,0
69,-979,441,1
70,-1068,500,0
71,-329,229,1
72,-999,500,0
73,-812,440,1
74,-992,500,0
75,-1021,500,0
76,-1395,500,0
77,-476,335,1
78,-899,500,0
79,-918,500,0
80,-905,500,0
81,-1146,500,0
82,-590,319,1
83,-970,500,0
84,-833,500,0
85,-874,391,1
86,-839,500,0
87,-102,125,1
88,-891,447,1
89,-548,369,1
90,-1031,500,0
91,-1526,500,0
92,-960,500,0
93,-311,279,1
94,-604,398,1
95,-1047,500,0
96,-892,500,0
97,-999,477,1
98,-1013,500,0
99,-1160,500,0
100,-765,500,0
101,-1093,500,0
102,-918,500,0
103,-799,500,0
104,-56,142,1
105,-841,431,1
106,-445,311,1
107,-977,500,0
108,-543,331,1
109,-767,500,0
110,-1027,500,0
111,-778,500,0
112,-301,206,1
113,-193,152,1
114,-887,500,0
115,-194,179,1
116,-267,244,1
117,-930,500,0
118,-363,286,1
119,-136,150,1
120,-190,159,1
121,-855,499,1
122,-859,486,1
123,-971,500,0
124,-681,500,0
125,-924,500,0
126,-922,500,0
127,-964,500,0
128,-864,500,0
129,-1088,500,0
130,-841,500,0
131,-994,500,0
132,-176,199,1
133,-840,500,0
134,-483,360,1
135,-906,500,0
136,-917,500,0
137,-953,500,0
138,-333,310,1
139,-886,500,0
140,-958,500,0
141,-38,133,1
142,-156,161,1
143,-412,343,1
144,-321,245,1
145,-962,500,0
146,-840,500,0
147,-965,500,0
148,-857,500,0
149,-804,500,0
150,-844,500,0
151,-921,473,1
152,-996,500,0
153,-936,500,0
154,-908,500,0
155,-1171,500,0
156,-174,177,1
157,-431,301,1
158,-109,140,1
159,-889,500,0
160,-1139,500,0
161,-283,230,1
162,-161,156,1
163,-761,500,0
164,-958,500,0
165,-834,500,0
166,-554,383,1
167,-642,460,1
168,-949,500,0
169,-672,500,0
170,-384,326,1
171,-509,420,1
172,-681,500,0
173,-627,494,1
174,-438,312,1
175,-212,262,1
176,-104,181,1
177,-771,500,0
178,-760,500,0
179,-1192,500,0
180,-803,500,0
181,-862,500,0
182,-434,375,1
183,-362,293,1
184,-559,462,1
185,-835,443,1
186,-704,500,0
187,-66,125,1
188,-551,397,1
189,-874,500,0
190,-991,500,0
191,-538,415,1
192,-74,133,1
193,-743,500,0
194,-827,500,0
195,-326,313,1
196,-851,500,0
197,-154,177,1
198,-145,140,1
199,-448,433,1
200,-1215,500,0
201,-69,109,1
202,-160,201,1
203,-816,500,0
204,-913,500,0
205,-872,500,0
206,-291,259,1
207,-54,131,1
208,-860,500,0
209,-382,387,1
210,-126,149,1
211,-575,435,1
212,-691,500,0
213,-681,500,0
214,-843,500,0
215,-182,151,1
216,-186,182,1
217,-591,414,1
218,-876,500,0
219,-733,500,0
220,-926,500,0
221,-492,380,1
222,-884,500,0
223,-477,470,1
224,-843,497,1
225,-532,337,1
226,-732,500,0
227,-1205,500,0
228,-829,500,0
229,-796,500,0
230,-877,500,0
231,-723,500,0
232,-750,500,0
233,-908,500,0
234,-452,374,1
235,-834,500,0
236,-104,109,1
237,-1102,500,0
238,-559,383,1
239,-814,500,0
240,-1174,500,0
241,-342,347,1
242,-228,269,1
243,-721,500,0
244,-803,500,0
245,-618,382,1
246,-591,427,1
247,-745,500,0
248,-258,299,1
249,-118,168,1
250,-471,430,1
251,-777,500,0
252,-719,500,0
253,-740,500,0
254,-108,158,1
255,-830,500,0
256,-246,246,1
257,-1080,500,0
258,-851,500,0
259,-686,500,0
260,-633,397,1
261,-353,211,1
262,-710,500,0
263,-815,500,0
264,-706,500,0
265,-714,423,1
