Episode,Rewards,Steps,Success
1,-1285.0,500,0
2,-1180.0,500,0
3,-1230.0,500,0
4,-852.0,487,1
5,-466.0,266,1
6,-1060.0,500,0
7,-1185.0,500,0
8,-1155.0,500,0
9,-642.0,357,1
10,-1220.0,500,0
11,-1100.0,500,0
12,-1070.0,500,0
13,-800.0,500,0
14,-1080.0,500,0
15,-1040.0,500,0
16,-1075.0,500,0
17,-594.0,359,1
18,-852.0,492,1
19,-598.0,308,1
20,-650.0,425,1
21,-638.0,273,1
22,-975.0,500,0
23,-1075.0,500,0
24,-1015.0,500,0
25,-692.0,337,1
26,-1130.0,500,0
27,-830.0,500,0
28,-915.0,500,0
29,-492.0,327,1
30,-1395.0,500,0
31,-1065.0,500,0
32,-1140.0,500,0
33,-1050.0,500,0
34,-975.0,500,0
35,-870.0,500,0
36,-955.0,500,0
37,-935.0,500,0
38,-1075.0,500,0
39,-1090.0,500,0
40,-915.0,500,0
41,-970.0,500,0
42,-334.0,199,1
43,-1150.0,500,0
44,-1015.0,500,0
45,-190.0,165,1
46,-930.0,500,0
47,-450.0,295,1
48,-945.0,500,0
49,-1005.0,500,0
50,-820.0,500,0
51,-880.0,500,0
52,-1080.0,500,0
53,-1060.0,500,0
54,-940.0,500,0
55,-965.0,500,0
56,-815.0,500,0
57,-1005.0,500,0
58,-1010.0,500,0
59,-870.0,500,0
60,-658.0,408,1
61,-820.0,500,0
62,-1020.0,500,0
63,-955.0,500,0
64,-850.0,500,0
65,-1030.0,500,0
66,-955.0,500,0
67,-780.0,490,1
68,-348.0,263,1
69,-820.0,500,0
70,-885.0,500,0
71,-438.0,353,1
72,-945.0,500,0
73,-1025.0,500,0
74,-850.0,500,0
75,-424.0,289,1
76,-995.0,500,0
77,-138.0,193,1
78,-865.0,500,0
79,-690.0,500,0
80,-1030.0,500,0
81,-875.0,500,0
82,-925.0,500,0
83,-178.0,178,1
84,-970.0,500,0
85,-368.0,273,1
86,-845.0,500,0
87,-845.0,500,0
88,-940.0,500,0
89,-885.0,500,0
90,-970.0,500,0
91,-795.0,500,0
92,-780.0,500,0
93,-765.0,500,0
94,-338.0,273,1
95,-285.0,260,1
96,-735.0,500,0
97,-780.0,500,0
98,-641.0,421,1
99,-434.0,299,1
100,-674.0,424,1
101,-945.0,500,0
102,-268.0,223,1
103,-865.0,500,0
104,-648.0,428,1
105,-875.0,500,0
106,-800.0,500,0
107,-840.0,500,0
108,-140.0,165,1
109,-910.0,500,0
110,-800.0,500,0
111,-332.0,257,1
112,-940.0,500,0
113,-330.0,220,1
114,-855.0,500,0
115,-182.0,197,1
116,-840.0,500,0
117,-805.0,500,0
118,-815.0,500,0
119,-780.0,500,0
120,-830.0,500,0
121,-665.0,500,0
122,-720.0,500,0
123,-790.0,500,0
124,-580.0,385,1
125,-418.0,303,1
126,-536.0,371,1
127,-584.0,444,1
128,-246.0,236,1
129,-840.0,500,0
130,-402.0,327,1
131,-855.0,500,0
132,-629.0,404,1
133,-720.0,500,0
134,-282.0,292,1
135,-725.0,500,0
136,-598.0,413,1
137,-464.0,384,1
138,-242.0,157,1
139,-675.0,500,0
140,-705.0,500,0
141,-208.0,193,1
142,-400.0,360,1
143,-206.0,241,1
144,-702.0,447,1
145,-244.0,229,1
146,-850.0,500,0
147,-174.0,199,1
148,-685.0,500,0
149,-735.0,500,0
150,-745.0,500,0
151,-785.0,500,0
152,-850.0,500,0
153,-590.0,445,1
154,-289.0,279,1
155,-681.0,481,1
156,-705.0,500,0
157,-890.0,500,0
158,-384.0,309,1
159,-830.0,500,0
160,-596.0,441,1
161,-785.0,500,0
162,-330.0,260,1
163,-794.0,479,1
164,-74.0,169,1
165,-785.0,500,0
166,-270.0,210,1
167,-433.0,353,1
168,-553.0,453,1
169,-341.0,326,1
170,-52.0,122,1
171,-695.0,500,0
172,-250.0,220,1
173,-810.0,500,0
174,-810.0,500,0
175,-850.0,500,0
176,-548.0,458,1
177,-890.0,500,0
178,-715.0,500,0
179,-120.0,130,1
180,-152.0,137,1
181,-154.0,189,1
182,-456.0,351,1
183,-785.0,500,0
184,-735.0,500,0
185,-112.0,167,1
186,-745.0,500,0
187,-790.0,500,0
188,-491.0,351,1
189,-30.0,105,1
190,-484.0,349,1
191,-256.0,266,1
192,-116.0,161,1
193,-50.0,140,1
194,-780.0,500,0
195,-730.0,500,0
196,-810.0,500,0
197,-755.0,500,0
198,-90.0,180,1
199,-399.0,324,1
200,-715.0,500,0
201,-830.0,500,0
202,-935.0,500,0
203,-98.0,133,1
204,-270.0,245,1
205,-825.0,500,0
206,-352.0,292,1
207,-825.0,500,0
208,-685.0,500,0
209,-780.0,500,0
210,-126.0,131,1
211,-950.0,500,0
212,-740.0,500,0
213,-292.0,277,1
214,-785.0,500,0
215,-715.0,500,0
216,-680.0,500,0
217,-750.0,500,0
218,-295.0,285,1
219,-110.0,180,1
220,-312.0,292,1
221,-94.0,149,1
222,-895.0,500,0
223,-116.0,151,1
224,-705.0,500,0
225,-710.0,500,0
226,-800.0,500,0
227,-780.0,500,0
228,-214.0,199,1
229,-60.0,145,1
230,-220.0,225,1
231,26.0,69,1
232,-4.0,89,1
233,-695.0,500,0
234,-710.0,500,0
235,-805.0,500,0
236,-230.0,205,1
237,-272.0,292,1
238,-695.0,500,0
239,-840.0,500,0
240,-194.0,209,1
241,-775.0,500,0
242,-56.0,156,1
243,-386.0,381,1
244,6.0,84,1
245,-14.0,124,1
246,-300.0,285,1
247,-208.0,223,1
248,-190.0,205,1
249,-176.0,201,1
250,-765.0,500,0
251,-170.0,185,1
252,-166.0,156,1
253,-615.0,500,0
254,-695.0,500,0
255,-308.0,273,1
256,-885.0,500,0
257,-611.0,431,1
258,-496.0,381,1
259,-702.0,457,1
260,-112.0,157,1
261,-502.0,437,1
262,-810.0,500,0
263,-660.0,500,0
264,-196.0,196,1
265,-780.0,500,0
266,-695.0,500,0
267,-675.0,500,0
268,-589.0,409,1
269,-625.0,500,0
270,-710.0,500,0
271,-476.0,401,1
272,-660.0,500,0
273,-64.0,154,1
274,-715.0,500,0
275,-830.0,500,0
276,-715.0,500,0
277,-546.0,361,1
278,-755.0,500,0
279,-680.0,500,0
280,-158.0,213,1
281,-162.0,212,1
282,-715.0,500,0
283,-48.0,153,1
284,-775.0,500,0
285,-660.0,500,0
286,-820.0,500,0
287,-740.0,500,0
288,-94.0,169,1
289,-720.0,500,0
290,-680.0,500,0
291,-745.0,500,0
292,-446.0,401,1
293,-825.0,500,0
294,-705.0,500,0
295,-725.0,500,0
296,-166.0,226,1
297,-625.0,500,0
298,-805.0,500,0
299,-334.0,359,1
300,-334.0,309,1
301,-660.0,500,0
302,-685.0,500,0
303,-765.0,500,0
304,-212.0,277,1
305,-655.0,500,0
306,-600.0,500,0
307,-590.0,500,0
308,-715.0,500,0
309,-790.0,500,0
310,-562.0,492,1
311,-456.0,361,1
312,-905.0,500,0
313,-152.0,177,1
314,-262.0,282,1
315,-735.0,500,0
316,-670.0,500,0
317,-416.0,441,1
318,-72.0,157,1
319,-372.0,337,1
320,-319.0,329,1
321,-593.0,468,1
322,-260.0,265,1
323,-685.0,500,0
324,-258.0,213,1
325,-372.0,357,1
326,-655.0,500,0
327,-102.0,177,1
328,-178.0,233,1
329,-305.0,305,1
330,-670.0,500,0
331,-42.0,142,1
332,-182.0,217,1
333,-98.0,118,1
334,-232.0,287,1
335,-655.0,500,0
336,-466.0,396,1
337,-84.0,129,1
338,-112.0,172,1
339,-48.0,133,1
340,24.0,101,1
341,-82.0,172,1
342,18.0,77,1
343,-598.0,493,1
344,-312.0,337,1
345,-645.0,500,0
346,-104.0,129,1
347,-180.0,220,1
348,-650.0,500,0
349,-39.0,119,1
350,-700.0,500,0
351,-50.0,100,1
352,-705.0,500,0
353,-40.0,125,1
354,-274.0,249,1
355,-58.0,153,1
356,-248.0,263,1
357,-202.0,242,1
358,-640.0,500,0
359,-700.0,500,0
360,-695.0,500,0
361,-835.0,500,0
362,12.0,103,1
363,-715.0,500,0
364,34.0,81,1
365,-54.0,109,1
366,-136.0,181,1
367,0.0,105,1
368,16.0,89,1
369,-66.0,141,1
370,-780.0,500,0
371,-40.0,140,1
372,-690.0,500,0
373,-18.0,108,1
374,-134.0,154,1
375,-158.0,208,1
376,-630.0,500,0
377,-224.0,229,1
378,-38.0,113,1
379,-82.0,132,1
380,-234.0,204,1
381,-850.0,500,0
382,-186.0,196,1
383,-260.0,265,1
384,-374.0,314,1
385,-670.0,500,0
386,-620.0,500,0
387,-100.0,165,1
388,-80.0,165,1
389,-328.0,353,1
390,-650.0,500,0
391,-86.0,141,1
392,-577.0,497,1
393,-56.0,111,1
394,-178.0,188,1
395,-92.0,137,1
396,-24.0,109,1
397,36.0,74,1
398,-299.0,289,1
399,-226.0,261,1
400,-614.0,489,1
401,-186.0,241,1
402,-310.0,345,1
403,-584.0,429,1
404,-590.0,500,0
405,-112.0,172,1
406,-156.0,181,1
407,-198.0,253,1
408,-244.0,229,1
409,-36.0,116,1
410,-332.0,287,1
411,-665.0,500,0
412,18.0,82,1
413,-114.0,169,1
414,-675.0,500,0
415,-230.0,305,1
416,-188.0,233,1
417,-138.0,163,1
418,-118.0,178,1
419,-180.0,220,1
420,-140.0,225,1
421,-30.0,105,1
422,-204.0,229,1
423,-332.0,297,1
424,-740.0,500,0
425,-142.0,182,1
426,-94.0,109,1
427,-236.0,236,1
428,-690.0,500,0
429,54.0,61,1
430,-254.0,209,1
431,-80.0,140,1
432,-54.0,129,1
433,-6.0,116,1
434,-136.0,161,1
435,-154.0,189,1
436,-655.0,500,0
437,-32.0,137,1
438,-655.0,500,0
439,-92.0,167,1
440,-142.0,217,1
441,-635.0,500,0
442,-56.0,141,1
443,-200.0,255,1
444,-102.0,197,1
445,-210.0,210,1
446,-164.0,194,1
447,-630.0,500,0
448,-20.0,125,1
449,-18.0,108,1
450,34.0,76,1
451,-56.0,111,1
452,-456.0,441,1
453,-690.0,465,1
454,-88.0,153,1
455,32.0,73,1
456,-8.0,108,1
457,-154.0,194,1
458,-44.0,129,1
459,-150.0,205,1
460,-190.0,225,1
461,-730.0,500,0
462,-446.0,356,1
463,20.0,85,1
464,-735.0,500,0
465,-685.0,500,0
466,-132.0,177,1
467,-128.0,163,1
468,18.0,97,1
469,-258.0,293,1
470,-635.0,500,0
471,-740.0,500,0
472,-158.0,163,1
473,-194.0,279,1
474,-434.0,349,1
475,-316.0,351,1
476,-142.0,257,1
477,-595.0,500,0
478,-116.0,201,1
479,38.0,77,1
480,-590.0,500,0
481,-442.0,457,1
482,-625.0,500,0
483,-204.0,274,1
484,-74.0,149,1
485,40.0,85,1
486,-16.0,121,1
487,4.0,101,1
488,50.0,85,1
489,-333.0,303,1
490,-845.0,500,0
491,52.0,68,1
492,-24.0,109,1
493,-40.0,105,1
494,8.0,97,1
495,-212.0,237,1
496,-399.0,429,1
497,-158.0,228,1
498,-84.0,164,1
499,16.0,69,1
500,40.0,55,1
