Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1714,0,500,99,17
2,-2041,0,500,94,34
3,-2299,0,500,81,46
4,-2360,0,500,156,24
5,-1838,0,500,120,11
6,-1661,0,500,91,18
7,-1823,0,500,109,18
8,-1788,0,500,106,15
9,-1323,0,500,83,4
10,-1782,0,500,102,14
11,-1727,0,500,114,8
12,-2008,0,500,138,14
13,-1954,0,500,94,32
14,-1825,0,500,124,11
15,-1912,0,500,107,3
16,-1947,0,500,94,11
17,-1804,0,500,109,17
18,-1819,0,500,104,15
19,-2715,0,500,111,64
20,-640,1,201,41,9
21,-1365,1,408,52,13
22,-1610,0,500,82,17
23,-1965,0,500,113,21
24,-1717,0,500,67,22
25,-1825,0,500,105,20
26,-1623,0,500,91,16
27,-1099,1,353,63,7
28,-2880,0,500,142,58
29,-1677,0,500,97,16
30,-2784,0,500,144,52
31,-1874,0,500,121,15
32,-1967,0,500,80,29
33,-1775,0,500,94,20
34,-1715,0,500,119,5
35,-2264,0,500,120,36
36,-2084,0,500,106,28
37,-1691,0,500,84,10
38,-505,1,146,20,7
39,-1889,0,500,113,17
40,-1931,0,500,95,20
41,-1378,0,500,68,14
42,-1440,0,500,58,22
43,-1485,0,500,63,22
44,-1638,0,500,118,4
45,-1709,0,500,90,21
46,-1963,0,500,81,18
47,-1523,0,500,66,20
48,-1638,0,500,80,22
49,-2044,0,500,84,26
50,-1576,0,500,77,15
51,-1577,0,500,72,20
52,-1496,0,500,88,3
53,-1911,0,500,110,17
54,-1598,0,500,84,18
55,-1847,0,500,137,6
56,-1570,0,500,83,17
57,-1421,0,500,64,13
58,-1677,0,500,65,26
59,-1413,0,500,74,13
60,-1810,0,500,93,12
61,-1791,0,500,83,8
62,-1580,0,500,62,12
63,-1481,0,500,64,11
64,-2002,0,500,131,17
65,-1595,0,500,77,16
66,-715,1,246,38,12
67,-1447,0,500,82,11
68,-1544,0,500,65,19
69,-1380,0,500,70,8
70,-1200,0,500,63,7
71,-1732,0,500,72,23
72,-1441,0,500,94,5
73,-1717,0,500,86,13
74,-1464,0,500,89,6
75,-1872,0,500,77,28
76,-2116,0,500,93,41
77,-1722,0,500,111,4
78,-1702,0,500,66,32
79,-1653,0,500,69,28
80,-1209,0,500,64,7
81,-1557,0,500,74,18
82,-1723,0,500,81,26
83,-1669,0,500,97,13
84,-1924,0,500,81,34
85,-1286,0,500,62,12
86,-1670,0,500,92,18
87,-1789,0,500,82,29
88,-1489,0,500,58,22
89,-1297,0,500,49,11
90,-1616,0,500,76,15
91,-1137,0,500,46,4
92,-1434,0,500,89,7
93,-1478,0,500,96,6
94,-1063,0,500,33,14
95,-1542,0,500,62,10
96,-1426,0,500,67,17
97,-1102,1,385,55,17
98,-1348,0,500,45,13
99,-1491,0,500,66,8
100,-1463,0,500,55,4
101,-1173,0,500,60,7
102,-1985,0,500,127,18
103,-1453,0,500,44,19
104,-1318,0,500,74,8
105,-1325,0,500,60,15
106,-1171,0,500,64,5
107,-1259,0,500,59,12
108,-1452,0,500,56,21
109,-1224,0,500,53,13
110,-1723,0,500,48,21
111,-828,1,355,49,7
112,-1082,1,376,54,4
113,-1635,0,500,67,28
114,-1150,0,500,68,2
115,-1197,1,481,57,16
116,-1393,0,500,76,11
117,-1189,0,500,40,7
118,-1326,0,500,32,18
119,-2003,0,500,110,27
120,-1058,1,496,42,15
121,-1499,0,500,60,19
122,-1223,1,405,39,17
123,-1864,0,500,77,25
124,-1299,0,500,74,7
125,-835,1,313,39,4
126,-1226,0,500,68,6
127,-1185,0,500,55,10
128,-1370,0,500,52,16
129,-1071,0,500,55,4
130,-1199,0,500,65,6
131,-1041,0,500,26,11
132,-1248,0,500,62,10
133,-1403,0,500,75,12
134,-1140,0,500,69,1
135,-1613,0,500,82,12
136,-1591,0,500,79,20
137,-1144,0,500,61,5
138,-781,1,417,39,6
139,-1108,0,500,38,14
140,-1189,0,500,66,5
141,-439,1,205,33,2
142,-1239,0,500,42,19
143,-1489,0,500,70,6
144,-1102,0,500,50,8
145,-1107,0,500,24,18
146,-1305,0,500,62,13
147,-1088,0,500,24,17
148,-909,1,441,43,7
149,-869,1,383,29,12
150,-824,1,449,39,4
151,-1457,0,500,55,14
152,-1162,0,500,63,5
153,-1182,0,500,48,8
154,-1177,0,500,71,2
155,-1140,0,500,50,10
156,-760,1,413,35,7
157,-1327,0,500,59,13
158,-1504,0,500,82,14
159,-1345,0,500,38,11
160,-1165,0,500,60,4
161,-630,1,301,23,4
162,-1135,0,500,41,14
163,-1291,0,500,71,8
164,-1509,0,500,68,8
165,-1056,0,500,47,7
166,-1004,0,500,40,5
167,-1245,0,500,52,12
168,-1094,0,500,47,9
169,-1164,0,500,46,8
170,-1198,0,500,67,5
171,-1099,0,500,40,10
172,-935,0,500,42,3
173,-1222,0,500,60,7
174,-1156,0,500,59,4
175,-1132,0,500,66,2
176,-983,0,500,41,6
177,-1282,0,500,32,26
178,-1216,0,500,46,3
179,-699,1,312,34,7
180,-1318,0,500,74,8
181,-1276,0,500,69,3
182,-1021,0,500,28,9
183,-575,1,363,20,7
184,-1110,0,500,53,7
185,-1189,0,500,50,10
186,-490,1,192,22,8
187,-722,1,384,34,7
188,-1050,0,500,59,1
189,-1073,0,500,32,15
190,-209,1,173,11,2
191,-866,1,499,33,9
192,-977,0,500,34,9
193,-906,0,500,43,1
194,-1084,0,500,48,8
195,-1497,0,500,58,25
196,-376,1,192,6,7
197,-1031,0,500,43,5
198,-84,1,101,3,3
199,-1032,0,500,57,1
200,-1119,0,500,35,16
201,-1105,0,500,31,12
202,-1032,0,500,38,10
203,-944,0,500,43,3
204,-882,0,500,34,4
205,-284,1,184,16,3
206,-1107,0,500,43,9
207,-972,0,500,44,4
208,-1463,0,500,69,18
209,-1021,0,500,44,4
210,-984,0,500,39,7
211,-906,0,500,24,10
212,-971,0,500,33,4
213,-1129,0,500,43,5
214,-1326,0,500,64,8
215,-968,0,500,33,9
216,-852,0,500,37,1
217,-462,1,241,21,7
218,-573,1,332,38,0
219,-993,0,500,27,8
220,-608,1,371,27,5
221,-966,0,500,40,3
222,-603,1,297,15,4
223,-1068,0,500,42,10
224,-996,0,500,24,7
225,-985,0,500,37,8
226,-1244,0,500,35,20
227,-920,0,500,34,6
228,-1042,0,500,37,11
229,-400,1,280,14,5
230,-1051,0,500,57,2
231,-838,1,337,21,14
232,-1209,0,500,48,12
233,-1094,0,500,50,5
234,-1559,0,500,54,25
235,-990,0,500,46,4
236,-972,0,500,44,4
237,-834,0,500,35,1
238,-1074,0,500,30,16
239,-871,0,500,37,2
240,-1503,0,500,84,13
241,-1015,0,500,53,2
242,-685,1,449,29,4
243,-1079,0,500,26,13
244,-888,0,500,41,1
245,-855,0,500,31,4
246,-1015,0,500,34,11
247,-1442,0,500,73,15
248,-951,1,492,42,7
249,-977,0,500,34,9
250,-842,0,500,22,5
251,-234,1,208,12,1
252,-612,1,409,19,7
253,-976,0,500,36,8
254,-939,0,500,34,7
255,-893,0,500,31,6
256,-1004,0,500,40,5
257,-617,1,368,22,8
258,-1086,0,500,47,6
259,-811,1,499,29,8
260,-352,1,209,9,6
261,-1317,0,500,37,10
262,-936,0,500,40,4
263,-903,0,500,30,7
264,-921,0,500,35,3
265,-847,0,500,28,5
266,-866,0,500,28,6
267,-655,1,325,31,8
268,-912,0,500,31,7
269,-280,1,198,14,3
270,-1002,0,500,44,3
271,-1182,0,500,42,16
272,-447,1,321,21,2
273,-1130,0,500,51,9
274,-956,0,500,25,7
275,-1068,0,500,29,11
276,-292,1,257,13,1
277,-857,0,500,30,2
278,-612,1,307,27,6
279,-928,0,500,37,5
280,-765,0,500,21,4
281,-810,0,500,26,4
282,-1066,0,500,49,4
283,-698,1,440,26,4
284,-1105,0,500,47,7
285,-751,1,441,33,6
286,-1084,0,500,48,8
287,-842,1,432,42,7
288,-1022,0,500,42,5
289,-1021,0,500,41,8
290,-945,0,500,41,4
291,-1060,0,500,32,4
292,-815,0,500,35,0
293,-728,0,500,19,3
294,-913,0,500,29,8
295,-581,1,371,11,6
296,-849,0,500,24,7
297,-967,0,500,35,8
298,-889,0,500,39,2
299,-1055,0,500,49,6
300,-773,1,449,43,2
