Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1985,0,500,89,36
2,-1974,0,500,76,39
3,-1750,0,500,103,17
4,-2047,0,500,107,23
5,-1878,0,500,103,16
6,-1489,1,428,108,10
7,-1594,0,500,92,14
8,-1410,0,500,80,10
9,-1799,0,500,119,12
10,-1798,0,500,105,16
11,-2002,0,500,102,23
12,-2019,0,500,68,40
13,-1577,0,500,88,15
14,-2290,0,500,134,23
15,-1393,0,500,79,7
16,-1473,0,500,87,10
17,-1764,0,500,94,22
18,-1815,0,500,109,15
19,-1886,0,500,77,21
20,-2082,0,500,104,34
21,-1680,0,500,91,19
22,-1961,0,500,118,21
23,-1548,0,500,108,4
24,-2360,0,500,86,52
25,-903,1,294,33,14
26,-2372,0,500,96,35
27,-1641,0,500,112,7
28,-2360,0,500,108,39
29,-1490,1,421,53,21
30,-1536,0,500,97,6
31,-1634,0,500,110,5
32,-1586,1,422,82,20
33,-1824,0,500,126,10
34,-1590,0,500,68,20
35,-1499,0,500,79,10
36,-1640,0,500,63,25
37,-1763,0,500,115,12
38,-298,1,137,11,6
39,-1902,0,500,77,27
40,-2256,0,500,88,43
41,-1435,0,500,77,5
42,-1917,0,500,73,40
43,-1622,0,500,93,15
44,-258,1,140,18,3
45,-1958,0,500,105,27
46,-1646,0,500,83,21
47,-1794,0,500,75,30
48,-1874,0,500,108,16
49,-1606,0,500,106,8
50,-1860,0,500,92,28
51,-1623,0,500,62,22
52,-1295,0,500,82,3
53,-1414,0,500,62,11
54,-1405,0,500,74,10
55,-2538,0,500,113,46
56,-1338,0,500,56,15
57,-1711,0,500,73,24
58,-1138,1,442,78,5
59,-1616,1,417,69,28
60,-1872,0,500,106,22
61,-1034,1,395,59,11
62,-1467,0,500,67,14
63,-1555,0,500,78,16
64,-1305,0,500,52,10
65,-1645,0,500,53,30
66,-1493,0,500,85,12
67,-612,1,305,39,3
68,-1474,0,500,85,11
69,-1373,0,500,97,0
70,-1382,1,420,78,19
71,-1770,0,500,72,25
72,-1358,0,500,70,12
73,-1530,0,500,74,14
74,-1512,0,500,69,18
75,-1365,0,500,56,19
76,-1497,0,500,58,25
77,-2113,0,500,78,17
78,-995,1,349,29,23
79,-460,1,213,26,6
80,-486,1,280,32,1
81,-1577,0,500,59,21
82,-153,1,106,8,4
83,-1385,0,500,73,12
84,-1970,0,500,64,29
85,-1194,0,500,56,10
86,-1541,0,500,71,16
87,-1253,0,500,55,11
88,-1593,0,500,75,22
89,-1240,0,500,59,11
90,-1298,0,500,57,15
91,-1967,0,500,83,25
92,-1357,0,500,72,11
93,-1814,0,500,108,18
94,-383,1,189,21,3
95,-1302,0,500,71,6
96,-1454,0,500,51,8
97,-1126,0,500,40,14
98,-527,1,233,27,8
99,-1308,0,500,56,16
100,-1390,0,500,72,5
101,-1372,0,500,67,9
102,-1156,0,500,40,13
103,-1085,1,473,59,7
104,-931,1,399,32,13
105,-1077,0,500,43,10
106,-1156,0,500,56,8
107,-1616,0,500,67,27
108,-1601,0,500,78,21
109,-1261,0,500,36,23
110,-1603,0,500,61,24
111,-2303,0,500,137,30
112,-1305,0,500,62,13
113,-1293,0,500,54,11
114,-1276,0,500,47,16
