Episode,Reward,Success
1,-2230,0
2,-1659,0
3,-2240,0
4,-1888,0
5,-1372,0
6,-1400,0
7,-1647,0
8,-1758,0
9,-2078,0
10,-1670,0
11,-1746,0
12,-1616,0
13,-1545,0
14,-1890,0
15,-1484,0
16,-2185,0
17,-1857,0
18,-1638,0
19,-1801,0
20,-1999,0
21,-1859,0
22,-643,1
23,-2008,0
24,-2050,0
25,-1910,0
26,-1670,0
27,-1626,0
28,-1845,0
29,-1734,0
30,-1739,0
31,-1823,0
32,-1415,0
33,-1557,0
34,-1893,0
35,-1673,0
36,-1293,0
37,-1622,0
38,-2071,0
39,-1583,0
40,-1720,1
41,-1489,0
42,-1738,1
43,-1361,0
44,-1288,0
45,-1224,1
46,-1586,0
47,-1959,0
48,-869,1
49,-1390,1
50,-1591,0
51,-1460,0
52,-1518,0
53,-1584,1
54,-1286,0
55,-1434,0
56,-1106,0
57,-1786,0
58,-1136,0
59,-1525,0
60,-1588,0
61,-1155,0
62,-485,1
63,-1365,0
64,-1003,1
65,-1659,0
66,-1436,0
67,-1316,0
68,-1741,0
69,-1423,0
70,-599,1
71,-1340,0
72,-1303,0
73,-1257,0
74,-2147,0
75,-1658,0
76,-1687,0
77,-1522,0
78,-1432,0
79,-1476,0
80,-784,1
81,-699,1
82,-1347,0
83,-1400,0
84,-1555,0
85,-983,1
86,-1355,0
87,-1383,0
88,-1241,0
89,-1125,0
90,-1313,0
91,-1037,0
92,-1262,0
93,-364,1
94,-1532,0
95,-783,1
96,-1140,0
97,-1336,1
98,-1217,0
99,-1274,0
100,-1284,0
101,-714,1
102,-1095,0
103,-1261,0
104,-1229,0
105,-1004,0
106,-1305,1
107,-1164,0
108,-1222,0
109,-1167,0
110,-1018,1
111,-1134,0
112,-1147,1
113,-1160,0
114,-362,1
115,-1387,0
116,-399,1
117,-699,1
118,-1230,0
119,-256,1
120,-1236,0
121,-1061,1
122,-512,1
123,-1065,0
124,-1070,0
125,-1078,0
126,-830,1
127,-1282,0
128,-106,1
129,-1611,0
130,-387,1
131,-823,1
132,-1137,0
133,-435,1
134,-958,0
135,-387,1
136,-1119,1
137,-278,1
138,-1108,0
139,-557,1
140,-598,1
141,-619,1
142,-987,1
143,-1039,0
144,-494,1
145,-966,0
146,-188,1
147,-1297,0
148,-1216,0
149,-503,1
150,-1212,0
151,-1675,0
152,-488,1
153,-1244,0
154,-1837,0
155,-1092,0
156,-1172,0
157,-1008,0
158,-581,1
159,-1066,0
160,-1002,0
161,-963,0
162,-164,1
163,-487,1
164,-1034,0
165,-1029,0
166,-287,1
167,-197,1
168,-513,1
169,-1034,0
170,-1081,0
171,-994,0
172,-677,1
173,-819,0
174,-1357,0
175,-927,0
176,-273,1
177,-935,0
178,-1095,0
179,-983,1
180,-1025,1
181,-1181,0
182,-1044,0
183,-434,1
184,-250,1
185,-1517,0
186,-869,1
187,-968,0
188,-1507,0
189,-814,0
190,-798,0
191,-107,1
192,-1285,0
193,-785,0
194,-1199,0
195,-1357,0
196,-773,1
197,-1058,0
198,-946,0
199,-748,0
200,-313,1
201,-412,1
202,-1293,0
203,-1068,1
204,-218,1
205,-578,1
206,-850,0
207,-1332,0
208,-614,1
209,-566,1
210,-914,0
211,-1015,0
212,-354,1
213,5,1
214,-1005,0
215,-710,1
216,-1316,0
217,-972,0
218,-132,1
219,-776,1
220,-973,0
221,-1015,0
222,-716,1
223,-887,0
224,-460,1
225,-94,1
226,-892,0
227,-1016,0
228,-798,0
229,-404,1
230,-695,1
231,-976,0
232,-402,1
233,-742,1
234,-782,0
235,-685,1
236,-901,0
237,-356,1
238,-291,1
239,-194,1
240,2,1
241,-819,0
242,-368,1
243,-669,1
244,-1108,0
245,-853,0
246,-70,1
247,-779,1
248,-958,0
249,-388,1
250,-451,1
251,-245,1
252,-619,1
253,-791,0
254,-372,1
255,-591,1
256,-584,1
257,-842,0
258,-349,1
259,-466,1
260,-1005,0
261,-524,1
262,-1224,0
263,-288,1
264,-796,1
265,-1008,0
266,-663,1
267,-842,1
268,-509,1
269,-555,1
270,-969,0
271,-565,1
272,6,1
273,-737,0
274,-818,0
275,-553,1
276,-53,1
277,-261,1
278,-840,0
279,-437,1
280,-353,1
281,-831,0
282,-804,0
283,-793,1
284,-1011,0
285,-283,1
286,-414,1
287,-825,0
288,-819,0
289,-821,0
290,-285,1
291,-103,1
292,-585,1
293,-884,0
294,-260,1
295,-82,1
296,-752,1
297,-169,1
298,-692,0
299,-230,1
300,-576,1
