Episode,Reward,Success
1,-1692,0
2,-2843,0
3,-2047,0
4,-1959,0
5,-840,1
6,-2125,0
7,-1730,0
8,-1602,0
9,-1852,0
10,-1398,1
11,-1450,0
12,-1714,0
13,-1056,1
14,-1703,0
15,-1994,0
16,-2509,0
17,-1188,1
18,-2348,0
19,-1204,1
20,-1797,0
21,-1544,0
22,-1649,0
23,-1370,1
24,-1802,0
25,-1355,1
26,-1921,0
27,-1501,0
28,-206,1
29,-2094,0
30,-2090,0
31,-2864,0
32,-2018,0
33,-1695,0
34,-882,1
35,-795,1
36,-1598,0
37,-1628,0
38,-1713,0
39,-2057,0
40,-837,1
41,-1421,0
42,-1587,0
43,-1667,0
44,-1723,0
45,-1238,1
46,-1370,0
47,-1453,0
48,-1597,0
49,-1901,0
50,-1260,0
51,-639,1
52,-488,1
53,-1449,0
54,-1473,0
55,-1397,0
56,-1475,0
57,-1672,0
58,-2095,0
59,-339,1
60,-1396,0
61,-1737,0
62,-1421,1
63,-1400,0
64,-1326,0
65,-1324,0
66,-1446,0
67,-1775,0
68,-1239,0
69,-1807,0
70,-1485,0
71,-1617,0
72,-1676,0
73,-1512,0
74,-1074,1
75,-1962,0
76,-1510,0
77,-273,1
78,-1286,0
79,-1329,0
80,-1529,0
81,-1503,0
82,-1171,0
83,-585,1
84,-2059,0
85,-1474,0
86,-1394,0
87,-1194,0
88,-1073,1
89,-1424,0
90,-883,1
91,-1566,0
92,-1119,1
93,-1290,0
94,-1154,0
95,-1199,0
96,-1299,0
97,-1287,0
98,-988,1
99,-1345,1
100,-641,1
101,-1283,0
102,-1050,0
103,-581,1
104,-1049,1
105,-1061,0
106,-1433,0
107,-1235,0
108,-1333,0
109,-1534,0
110,-1286,0
111,-1224,0
112,-561,1
113,-1069,1
114,-1341,0
115,-1364,0
116,-1568,0
117,-1324,0
118,-252,1
119,-1355,0
120,-1504,0
121,-1184,0
122,-1428,0
123,-1001,1
124,-1236,0
125,-461,1
126,-1289,0
127,-1335,0
128,-1329,0
129,-542,1
130,-1368,0
131,-725,1
132,-1171,0
133,-783,1
134,-1113,0
135,-866,1
136,-438,1
137,-1150,0
138,-1299,0
139,-233,1
140,-1441,0
141,-1269,0
142,-247,1
143,-312,1
144,-527,1
145,-801,1
146,-1206,0
147,-918,0
148,-1308,0
149,-770,1
150,-1365,0
151,-843,0
152,-956,0
153,-169,1
154,-987,0
155,-987,0
156,-1140,0
157,-448,1
158,-1214,0
159,-1169,0
160,-1227,1
161,-1427,0
162,-400,1
163,-381,1
164,-1214,0
165,-1048,0
166,-748,1
167,-1100,0
168,-975,0
169,-1042,0
170,-1004,0
171,-504,1
172,-764,1
173,-274,1
174,-959,0
175,-985,1
176,-537,1
177,-1133,0
178,-997,0
179,-854,0
180,-1121,0
181,-1086,1
182,-996,0
183,-1260,0
184,-747,1
185,-934,0
186,-873,0
187,-1148,0
188,-1189,0
189,-231,1
190,-957,0
191,-319,1
192,-740,1
193,-1143,0
194,-764,1
195,-247,1
196,-1046,0
197,-516,1
198,-423,1
199,-238,1
200,-1114,0
201,-270,1
202,-983,0
203,-950,0
204,-1092,0
205,-987,1
206,-633,1
207,-507,1
208,-1099,0
209,-1138,0
210,-1378,0
211,-898,0
212,-1129,0
213,-645,1
214,-414,1
215,-905,0
216,-721,1
217,-904,0
218,-392,1
219,-517,1
220,-452,1
221,-1157,0
222,-506,1
223,-171,1
224,-656,1
225,-927,1
226,-797,0
227,-701,1
228,-417,1
229,-239,1
230,-922,0
231,-120,1
232,-1235,0
233,-1045,0
234,-885,0
235,-742,1
236,-856,0
237,-834,1
238,-973,0
239,-893,0
240,-729,1
241,-568,1
242,-1168,0
243,-1060,0
244,-293,1
245,-492,1
246,-1212,0
247,-603,1
248,-921,0
249,-973,1
250,-823,0
251,-1004,0
252,-502,1
253,-390,1
254,-1030,0
255,-829,0
256,-694,1
257,-263,1
258,-301,1
259,-909,0
260,-1183,0
261,-465,1
262,-315,1
263,-569,1
264,-993,0
265,-854,0
266,-738,0
267,-545,1
268,-911,0
269,-727,0
270,-998,0
271,-1423,0
272,-293,1
273,-1143,0
274,-292,1
275,-1233,0
276,-78,1
277,-118,1
278,-298,1
279,-992,0
280,-380,1
281,-615,1
282,-1041,0
283,-901,0
284,-863,0
285,-616,1
286,-515,1
287,-376,1
288,-87,1
289,-520,1
290,-718,1
291,-213,1
292,-210,1
293,-295,1
294,-406,1
295,-1052,0
296,-877,0
297,-640,1
298,-809,0
299,-532,1
300,-542,1
