Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1904,0,500,118,18
2,-2015,0,500,130,13
3,-1663,0,500,89,1
4,-1867,0,500,97,26
5,-1969,0,500,95,22
6,-1951,0,500,93,22
7,-1840,0,500,94,26
8,-1882,0,500,114,11
9,-1594,0,500,79,15
10,-2592,0,500,110,58
11,-1342,1,397,96,7
12,-1575,0,500,95,9
13,-1498,0,500,94,8
14,-1818,0,500,119,13
15,-1223,1,386,100,2
16,-1259,1,494,92,2
17,-1258,1,329,51,12
18,-1640,0,500,95,15
19,-1581,0,500,99,10
20,-2075,0,500,92,29
21,-2425,0,500,121,44
22,-1413,0,500,93,4
23,-1654,0,500,105,11
24,-1634,0,500,88,18
25,-1945,0,500,99,24
26,-1558,0,500,107,5
27,-2038,0,500,90,28
28,-910,1,224,30,4
29,-1688,0,500,78,23
30,-2060,0,500,100,27
31,-1400,0,500,81,9
32,-1568,0,500,68,24
33,-1718,0,500,75,26
34,-2292,0,500,124,33
35,-1657,0,500,102,10
36,-573,1,226,38,3
37,-1364,0,500,77,9
38,-1331,0,500,70,8
39,-1567,0,500,89,14
40,-1616,0,500,108,5
41,-1753,0,500,122,3
42,-1712,0,500,77,17
43,-1470,0,500,74,16
44,-1714,0,500,60,20
45,-1398,0,500,85,7
46,-1004,1,366,80,1
47,-1472,0,500,89,9
48,-1651,0,500,63,23
49,-1179,0,500,48,13
50,-1373,0,500,65,10
51,-1470,0,500,93,7
52,-1549,0,500,106,5
53,-1725,0,500,86,16
54,-895,1,329,53,10
55,-2044,0,500,123,23
56,-1604,0,500,91,15
57,-1358,0,500,70,12
58,-1381,0,500,62,17
59,-1176,1,413,77,9
60,-1491,0,500,60,16
61,-2094,0,500,85,23
62,-1274,0,500,67,9
63,-1570,0,500,54,23
64,-1491,0,500,70,19
65,-1951,0,500,81,38
66,-1390,0,500,66,13
67,-1539,0,500,71,3
68,-1711,0,500,70,28
69,-1752,0,500,118,10
70,-1415,0,500,70,15
71,-1485,0,500,63,22
72,-1457,0,500,58,10
73,-1810,0,500,119,10
74,-270,1,114,18,5
75,-1221,0,500,59,10
76,-1463,0,500,88,9
77,-1844,0,500,67,39
78,-1849,0,500,95,26
79,-1505,0,500,51,21
80,-2297,0,500,114,38
81,-1226,1,397,39,15
82,-1289,0,500,75,6
83,-1006,1,402,56,8
84,-1531,0,500,66,23
85,-1246,0,500,50,13
86,-1238,0,500,66,5
87,-1353,0,500,61,16
88,-572,1,228,28,5
89,-1463,0,500,59,15
90,-634,1,269,37,7
91,-1639,0,500,59,32
92,-1135,1,403,63,14
93,-1193,0,500,58,9
94,-2023,0,500,108,29
95,-1462,0,500,74,13
96,-1233,0,500,57,9
97,-1290,0,500,35,25
98,-1391,0,500,80,9
99,-1529,0,500,54,26
100,-1981,0,500,100,28
101,-1167,0,500,53,10
102,-1087,1,342,56,18
103,-2233,0,500,93,42
104,-1296,0,500,42,22
105,-1188,0,500,68,4
106,-1123,0,500,65,2
107,-1268,0,500,60,12
108,-1111,0,500,51,8
109,-1398,0,500,47,25
110,-1186,0,500,53,11
111,-1327,0,500,52,6
112,-1302,0,500,71,6
113,-1243,0,500,43,11
114,-1384,0,500,81,3
115,-217,1,139,6,4
116,-753,1,250,46,10
117,-1035,0,500,51,4
118,-491,1,264,28,4
119,-1293,0,500,51,15
120,-172,1,105,9,2
121,-1260,0,500,63,5
122,-1175,0,500,56,9
123,-1497,0,500,80,12
124,-1402,0,500,54,9
125,-382,1,239,25,1
126,-1292,0,500,53,14
127,-1155,0,500,58,7
128,-1354,0,500,68,5
129,-1238,0,500,82,0
130,-1258,0,500,61,11
131,-1274,0,500,54,10
132,-1495,0,500,81,14
133,-1423,0,500,76,10
134,-1192,0,500,60,8
135,-553,1,273,23,4
136,-624,1,280,28,5
137,-1225,0,500,51,14
138,-690,1,309,27,10
139,-1044,0,500,52,4
140,-1070,0,500,38,12
141,-1100,0,500,41,7
142,-1558,0,500,81,7
143,-854,1,404,38,11
144,-1243,0,500,56,10
