Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1723,1,483,111,18
2,-2455,0,500,81,31
3,-1949,0,500,85,36
4,-1839,0,500,102,17
5,-2111,0,500,102,21
6,-1911,0,500,84,19
7,-1340,0,500,49,21
8,-2170,0,500,118,32
9,-1422,0,500,59,18
10,-1778,0,500,107,14
11,-909,1,269,57,12
12,-1605,0,500,76,17
13,-1737,0,500,110,13
14,-1682,0,500,77,18
15,-2029,0,500,105,23
16,-1626,0,500,85,19
17,-1787,0,500,89,23
18,-1788,0,500,103,19
19,-1279,1,372,93,9
20,-1472,0,500,73,14
21,-2354,0,500,92,54
22,-1908,0,500,129,13
23,-1788,0,500,58,30
24,-1851,0,500,81,25
25,-1609,0,500,84,16
26,-1785,0,500,128,7
27,-2338,0,500,143,29
28,-1527,0,500,112,1
29,-1468,0,500,97,5
30,-1349,0,500,72,8
31,-1575,0,500,76,18
32,-2337,0,500,110,42
33,-895,1,313,59,8
34,-1575,0,500,95,9
35,-1635,0,500,73,20
36,-1904,0,500,121,14
37,-1448,0,500,83,8
38,-2348,0,500,104,48
39,-1724,0,500,53,29
40,-1758,0,500,61,27
41,-1504,0,500,82,14
42,-1507,0,500,60,22
43,-1514,0,500,103,2
44,-1500,0,500,71,19
45,-1395,0,500,91,4
46,-1840,0,500,84,23
47,-2008,0,500,83,22
48,-1688,0,500,81,19
49,-1881,0,500,94,23
50,-1684,0,500,89,15
51,-1609,0,500,65,25
52,-1542,0,500,88,8
53,-1776,0,500,89,25
54,-750,1,258,52,4
55,-1097,1,393,43,22
56,-1787,0,500,88,8
57,-1876,0,500,82,31
58,-1607,0,500,72,19
59,-2087,0,500,106,23
60,-1696,0,500,84,18
61,-1587,0,500,106,7
62,-1257,0,500,63,10
63,-1559,0,500,67,24
64,-1465,0,500,84,11
65,-1585,0,500,75,19
66,-1840,0,500,81,27
67,-1387,0,500,69,14
68,-1909,0,500,95,24
69,-1383,0,500,51,12
70,-1751,0,500,63,36
71,-1377,0,500,60,10
72,-1457,0,500,84,8
73,-1461,0,500,73,16
74,-1639,0,500,58,17
75,-1320,0,500,70,10
76,-1326,0,500,58,16
77,-1242,0,500,55,13
78,-1442,0,500,92,6
79,-1136,1,407,53,16
80,-1219,0,500,63,8
81,-1327,0,500,75,8
82,-1272,0,500,42,13
83,-1341,0,500,85,4
84,-1259,0,500,59,12
85,-1706,0,500,61,32
86,-1640,0,500,98,11
87,-1466,0,500,66,17
88,-1481,0,500,71,18
89,-1303,0,500,66,11
90,-1247,0,500,64,9
91,-1548,0,500,79,10
92,-1249,0,500,79,2
93,-902,1,348,58,7
94,-1315,0,500,80,5
95,-1261,0,500,58,10
96,-1309,0,500,54,17
97,-1410,0,500,99,1
98,-365,1,136,24,6
99,-1206,0,500,70,4
100,-1294,0,500,71,3
101,-1232,0,500,56,12
102,-872,1,417,47,7
103,-1376,0,500,53,21
104,-869,1,429,39,10
105,-1318,0,500,74,8
106,-1298,0,500,57,15
107,-1644,0,500,68,28
108,-1183,0,500,59,8
109,-1417,0,500,66,17
110,-1326,0,500,51,9
111,-1625,0,500,68,27
112,-1680,0,500,72,28
113,-1456,0,500,64,20
114,-1662,0,500,57,29
115,-1311,0,500,69,10
116,-1261,0,500,61,6
117,-908,1,451,43,9
118,-1195,0,500,54,11
119,-1319,0,500,75,5
120,-1100,0,500,57,2
121,-1198,1,487,51,16
122,-1186,0,500,53,11
123,-1399,0,500,64,17
124,-1330,0,500,49,5
125,-1339,0,500,70,11
126,-528,1,271,25,7
127,-1189,0,500,47,14
128,-602,1,269,25,11
129,-515,1,240,30,3
130,-1245,0,500,49,16
131,-1428,0,500,82,10
132,-1295,0,500,63,12
133,-506,1,263,21,3
134,-1361,0,500,48,20
135,-442,1,223,25,5
136,-1708,0,500,95,16
137,-1081,0,500,38,10
138,-1122,0,500,48,10
139,-1500,0,500,74,15
140,-1502,0,500,48,30
141,-492,1,244,24,7
142,-1294,0,500,68,7
143,-1299,0,500,74,7
