Episode,Reward,Success
1,-1827,0
2,-1283,1
3,-1973,0
4,-1932,0
5,-1873,0
6,-2307,0
7,-1809,0
8,-446,1
9,-1099,1
10,-2001,0
11,-1078,1
12,-1845,0
13,-1583,0
14,-1748,0
15,-2217,0
16,-1782,0
17,-1685,0
18,-1457,1
19,-1725,0
20,-1694,0
21,-1748,1
22,-1286,1
23,-896,1
24,-1708,0
25,-1547,0
26,-1214,1
27,-1058,1
28,-1726,0
29,-2137,0
30,-1936,0
31,-1292,0
32,-2611,0
33,-519,1
34,-1675,0
35,-1740,0
36,-1832,0
37,-239,1
38,-1698,0
39,-1520,0
40,-1425,0
41,-1989,0
42,-1862,0
43,-1856,0
44,-1275,1
45,-1493,0
46,-482,1
47,-1608,1
48,-1455,0
49,-1330,0
50,-1375,0
51,-1609,0
52,-1264,0
53,-1437,0
54,-987,1
55,-1560,0
56,-1568,0
57,-2354,0
58,-1958,0
59,-1554,0
60,-445,1
61,-297,1
62,-2325,0
63,-1200,1
64,-1466,0
65,-2021,0
66,-1684,0
67,-1518,0
68,-1518,0
69,-1605,0
70,-1824,0
71,-734,1
72,-1752,0
73,-1398,0
74,-1204,0
75,-808,1
76,-1737,0
77,-1238,0
78,-1134,0
79,-1143,1
80,-1766,0
81,-435,1
82,-1633,0
83,-1280,0
84,-1344,0
85,-1424,0
86,-1368,0
87,-1366,0
88,-1726,0
89,-1692,0
90,-1033,1
91,-807,1
92,-1506,0
93,-683,1
94,-336,1
95,-1340,0
96,-1502,0
97,-1312,0
98,-1549,0
99,-1471,0
100,-894,1
101,-1428,0
102,-1173,0
103,-814,1
104,-1720,0
105,-1230,0
106,-1770,0
107,-1012,0
108,-405,1
109,-1107,0
110,-1774,0
111,-1588,0
112,-1482,0
113,-417,1
114,-1342,0
115,-1149,1
116,-1136,0
117,-817,1
118,-1148,0
119,-1019,1
120,-1178,0
121,-1378,0
122,-492,1
123,-1301,1
124,-603,1
125,-1122,0
126,-602,1
127,-692,1
128,-1303,0
129,-1270,0
130,-1710,0
131,-643,1
132,-1187,0
133,-1581,0
134,-1283,0
135,-392,1
136,-1227,0
137,-107,1
138,-278,1
139,-1198,0
140,-1040,0
141,-1075,0
142,-957,0
143,-991,0
144,-487,1
145,-656,1
146,-1253,0
147,-820,1
148,-1553,0
149,-777,1
150,-1290,0
151,-1320,0
152,-1106,0
153,-554,1
154,-1380,0
155,-1097,0
156,-1041,0
157,-1154,0
158,-923,0
159,-920,1
160,-873,0
161,-637,1
162,-1208,0
163,-1366,0
164,-1039,0
165,-666,1
166,-1170,0
167,-277,1
168,-421,1
169,-534,1
170,-876,0
171,-984,0
172,-467,1
173,-923,0
174,-582,1
175,-255,1
176,-1236,0
177,-786,1
178,-745,1
179,-898,0
180,-164,1
181,-875,0
182,-1053,0
183,-1048,0
184,-970,0
185,-552,1
186,-962,0
187,-1155,0
188,-1094,0
189,-668,1
190,-1141,0
191,-1380,0
192,-1073,0
193,-812,0
194,-1196,0
195,-828,0
196,-1176,0
197,-1232,0
198,-1116,0
199,-1033,0
200,-730,1
201,-1136,0
202,-694,1
203,-1159,0
204,-491,1
205,-1232,0
206,-398,1
207,-986,0
208,-1177,1
209,-903,0
210,-802,0
211,-650,1
212,-555,1
213,-1058,0
214,-425,1
215,-912,0
216,-469,1
217,-924,0
218,-477,1
219,-910,0
220,-209,1
221,-93,1
222,-1225,0
223,-912,0
224,-1113,0
225,-763,1
226,-661,1
227,-1041,0
228,-878,0
229,-938,0
230,-914,0
231,-1090,1
232,-467,1
233,-13,1
234,-470,1
235,-93,1
236,-700,0
237,-949,0
238,-356,1
239,-871,1
240,-423,1
241,-1182,0
242,-356,1
243,-221,1
244,-983,0
245,-557,1
246,-289,1
247,-707,0
248,-1008,0
249,-893,0
250,-1190,0
251,-297,1
252,-484,1
253,-64,1
254,-829,1
255,-1379,0
256,-938,0
257,-694,1
258,-494,1
259,-456,1
260,-109,1
261,-389,1
262,-783,0
263,-754,0
264,-1093,0
265,-737,0
266,-810,0
267,-470,1
268,-830,0
269,-1023,0
270,-757,0
271,-911,0
272,-707,1
273,-985,0
274,-899,0
275,-461,1
276,-593,1
277,-1000,0
278,-266,1
279,-586,1
280,-452,1
281,-232,1
282,-184,1
283,-420,1
284,-613,1
285,-843,1
286,-266,1
287,-791,0
288,-381,1
289,-816,0
290,-880,0
291,-1020,0
292,-969,0
293,-994,0
294,-173,1
295,-51,1
296,-184,1
297,-722,0
298,-940,0
299,-132,1
300,-15,1
