Episode,Rewards,Steps,Success
1,-1757,500,0
2,-1877,500,0
3,-1724,500,0
4,-1640,500,0
5,-2229,500,0
6,-1631,500,0
7,-1446,500,0
8,-1853,500,0
9,-1576,500,0
10,-1608,500,0
11,-1946,500,0
12,-1509,500,0
13,-1431,500,0
14,-2076,500,0
15,-1856,500,0
16,-1615,500,0
17,-1647,500,0
18,-1515,500,0
19,-1523,500,0
20,-1930,500,0
21,-1712,500,0
22,-1800,500,0
23,-1841,500,0
24,-1707,500,0
25,-1254,500,0
26,-1565,500,0
27,-1678,500,0
28,-1713,500,0
29,-1306,500,0
30,-2456,500,0
31,-1295,500,0
32,-1991,500,0
33,-1726,500,0
34,-1539,500,0
35,-1425,500,0
36,-1502,500,0
37,-1868,500,0
38,-1418,500,0
39,-1646,500,0
40,-1437,500,0
41,-1588,500,0
42,-1355,500,0
43,-1633,500,0
44,-1377,500,0
45,-1569,500,0
46,-1768,500,0
47,-1634,500,0
48,-1450,500,0
49,-1593,500,0
50,-916,378,1
51,-1427,500,0
52,-1462,500,0
53,-1383,500,0
54,-1656,500,0
55,-1631,500,0
56,-1707,500,0
57,-1634,500,0
58,-2049,500,0
59,-1348,500,0
60,-1667,500,0
61,-1391,500,0
62,-1434,490,1
63,-1591,500,0
64,-1631,500,0
65,-1599,500,0
66,-1418,500,0
67,-1329,500,0
68,-1210,500,0
69,-1969,500,0
70,-1252,500,0
71,-1514,500,0
72,-1225,500,0
73,-1261,500,0
74,-1559,500,0
75,-1517,500,0
76,-1438,500,0
77,-1241,500,0
78,-1490,500,0
79,-1365,500,0
80,-1418,500,0
81,-1254,500,0
82,-1476,500,0
83,-1613,500,0
84,-1749,500,0
85,-1408,500,0
86,-1588,500,0
87,-1592,500,0
88,-1496,500,0
89,-1910,500,0
90,-1028,500,0
91,-1545,500,0
92,-1395,500,0
93,-996,500,0
94,-1245,500,0
95,-1929,500,0
96,-1353,500,0
97,-1195,500,0
98,-1097,500,0
99,-1598,500,0
100,-1578,500,0
101,-1445,500,0
102,-1061,500,0
103,-1150,500,0
104,-1124,500,0
105,-1038,416,1
106,-1136,500,0
107,-1112,500,0
108,-1060,500,0
109,-1283,500,0
110,-1287,500,0
111,-1135,500,0
112,-1421,500,0
113,-919,500,0
114,-1210,500,0
115,-1119,500,0
116,-1333,500,0
117,-1091,500,0
118,-1258,500,0
119,-1141,500,0
120,-1301,500,0
121,-1326,500,0
122,-1607,500,0
123,-1082,500,0
124,-1649,500,0
125,-952,500,0
126,-1300,500,0
127,-1114,500,0
128,-1234,500,0
129,-1205,500,0
130,-1071,470,1
131,-1400,500,0
132,-991,500,0
133,-1054,500,0
134,-1214,500,0
135,-1030,500,0
136,-1091,500,0
137,-1107,500,0
138,-1076,500,0
139,-1095,500,0
140,-961,500,0
141,-1229,500,0
142,-908,500,0
143,-1206,500,0
144,-899,500,0
145,-1452,500,0
146,-1168,500,0
147,-1120,500,0
148,-991,500,0
149,-879,500,0
150,-936,500,0
151,-1082,500,0
152,-1309,500,0
153,-950,500,0
154,-1244,500,0
155,-781,500,0
156,-1056,500,0
157,-1044,500,0
158,-1171,500,0
159,-975,500,0
160,-1165,500,0
161,-865,500,0
162,-1485,500,0
163,-1857,500,0
164,-1204,500,0
165,-906,500,0
166,-1253,500,0
167,-1069,500,0
168,-829,500,0
169,-1202,500,0
170,-1085,500,0
171,-929,500,0
172,-790,456,1
173,-1183,500,0
174,-1534,500,0
175,-1076,500,0
176,-1051,500,0
177,-1336,500,0
178,-821,500,0
179,-979,500,0
180,-1339,500,0
181,-1255,500,0
182,-1140,500,0
183,-876,500,0
184,-313,207,1
185,-911,500,0
186,-1043,500,0
187,-1124,500,0
188,-856,500,0
189,-910,500,0
190,-591,265,1
191,-945,500,0
192,-921,500,0
193,-972,386,1
194,-1592,500,0
195,-244,209,1
196,-985,500,0
197,-936,500,0
198,-963,500,0
199,-853,500,0
200,-971,500,0
201,-564,325,1
202,-812,500,0
203,-1013,500,0
204,-989,500,0
205,-779,413,1
206,-986,500,0
207,-715,398,1
208,-836,500,0
209,-704,453,1
210,-816,500,0
211,-1041,500,0
212,-1083,500,0
213,-1076,500,0
214,-969,500,0
215,-1250,500,0
216,-568,310,1
217,-704,437,1
218,-1059,500,0
219,-887,500,0
220,-893,500,0
221,-926,500,0
222,-721,430,1
223,-967,500,0
224,-851,500,0
225,-1134,500,0
226,-1091,500,0
227,-968,500,0
228,-876,500,0
229,-559,385,1
230,-776,500,0
231,-1172,500,0
232,-883,500,0
233,-938,500,0
234,-1106,500,0
235,-872,500,0
236,-787,500,0
237,-572,401,1
238,-882,500,0
239,-1035,500,0
240,-455,341,1
241,-1041,500,0
242,-866,500,0
243,-1085,500,0
244,-1273,500,0
245,-948,500,0
246,-1193,500,0
247,-1015,500,0
248,-198,203,1
249,-832,500,0
250,-770,500,0
251,-1017,500,0
252,-885,500,0
253,-713,500,0
254,-828,500,0
255,-987,500,0
256,-691,500,0
257,-1202,500,0
258,-821,500,0
259,-789,500,0
260,-611,397,1
261,-736,500,0
262,-870,500,0
263,-958,500,0
264,-1318,500,0
265,-774,500,0
266,-898,500,0
267,-958,500,0
268,-925,500,0
269,-960,500,0
270,-793,500,0
271,-530,353,1
272,-966,500,0
273,-785,500,0
274,-791,500,0
275,-733,500,0
276,-834,500,0
277,-50,109,1
278,-777,500,0
279,-210,222,1
280,-499,402,1
281,-1002,500,0
282,-741,500,0
283,-993,500,0
284,-805,500,0
285,-166,189,1
286,-903,500,0
287,-878,500,0
288,-591,458,1
289,-803,500,0
290,-211,159,1
291,-814,500,0
292,-815,500,0
293,-576,369,1
294,-1070,500,0
295,-723,500,0
296,-827,500,0
297,-792,500,0
