Episode,Rewards,Steps,Success
1,-1230.0,500,0
2,-1405.0,500,0
3,-1620.0,500,0
4,-1315.0,500,0
5,-914.0,434,1
6,-1250.0,500,0
7,-1415.0,500,0
8,-965.0,500,0
9,-1180.0,500,0
10,-1180.0,500,0
11,-1230.0,500,0
12,-1245.0,500,0
13,-1000.0,500,0
14,-1200.0,500,0
15,-1120.0,500,0
16,-960.0,500,0
17,-1145.0,500,0
18,-1125.0,500,0
19,-1250.0,500,0
20,-1045.0,500,0
21,-1120.0,500,0
22,-1240.0,500,0
23,-1155.0,500,0
24,-1210.0,500,0
25,-1035.0,500,0
26,-1120.0,500,0
27,-1220.0,500,0
28,-1015.0,500,0
29,-935.0,500,0
30,-965.0,500,0
31,-1020.0,500,0
32,-1230.0,500,0
33,-935.0,500,0
34,-1200.0,500,0
35,-930.0,500,0
36,-1140.0,500,0
37,-1020.0,500,0
38,-1130.0,500,0
39,-945.0,500,0
40,-995.0,500,0
41,-1050.0,500,0
42,-860.0,500,0
43,-1170.0,500,0
44,-970.0,500,0
45,-945.0,500,0
46,-980.0,500,0
47,-1045.0,500,0
48,-1010.0,500,0
49,-1075.0,500,0
50,-1135.0,500,0
51,-754.0,434,1
52,-1015.0,500,0
53,-915.0,500,0
54,-840.0,500,0
55,-1095.0,500,0
56,-1245.0,500,0
57,-1120.0,500,0
58,-870.0,500,0
59,-905.0,500,0
60,-990.0,500,0
61,-920.0,500,0
62,-880.0,500,0
63,-940.0,500,0
64,-915.0,500,0
65,-905.0,500,0
66,-716.0,496,1
67,-796.0,476,1
68,-960.0,500,0
69,-1020.0,500,0
70,-758.0,498,1
71,-915.0,500,0
72,-566.0,421,1
73,-975.0,500,0
74,-925.0,500,0
75,-810.0,500,0
76,-775.0,500,0
77,-800.0,500,0
78,-965.0,500,0
79,-800.0,500,0
80,-692.0,397,1
81,-900.0,500,0
82,-1105.0,500,0
83,-950.0,500,0
84,-1025.0,500,0
85,-935.0,500,0
86,-935.0,500,0
87,-845.0,500,0
88,-925.0,500,0
89,-835.0,500,0
90,-925.0,500,0
91,-945.0,500,0
92,-1000.0,500,0
93,-1575.0,500,0
94,-835.0,500,0
95,-830.0,500,0
96,-775.0,500,0
97,-850.0,500,0
98,-895.0,500,0
99,-970.0,500,0
100,-840.0,500,0
101,-790.0,500,0
102,-935.0,500,0
103,-955.0,500,0
104,-950.0,500,0
105,-925.0,500,0
106,-890.0,500,0
107,-870.0,500,0
108,-574.0,319,1
109,-1245.0,500,0
110,-905.0,500,0
111,-518.0,333,1
112,-850.0,500,0
113,-845.0,500,0
114,-800.0,500,0
115,-825.0,500,0
116,-815.0,500,0
117,-895.0,500,0
118,-690.0,500,0
119,-810.0,500,0
120,-805.0,500,0
121,-905.0,500,0
122,-785.0,500,0
123,-1105.0,500,0
124,-885.0,500,0
125,-750.0,500,0
126,-174.0,169,1
127,-780.0,500,0
128,-895.0,500,0
129,-910.0,500,0
130,-1145.0,500,0
131,-870.0,500,0
132,-870.0,500,0
133,-775.0,500,0
134,-1070.0,500,0
135,-446.0,261,1
136,-855.0,500,0
137,-742.0,497,1
138,-885.0,500,0
139,-920.0,500,0
140,-810.0,500,0
141,-845.0,500,0
142,-840.0,500,0
143,-780.0,500,0
144,-960.0,500,0
145,-840.0,500,0
146,-845.0,500,0
147,-890.0,500,0
148,-354.0,309,1
149,-880.0,500,0
150,-920.0,500,0
151,-880.0,500,0
152,-220.0,165,1
153,-915.0,500,0
154,-825.0,500,0
155,-166.0,181,1
156,-710.0,500,0
157,-720.0,500,0
158,-965.0,500,0
159,-870.0,500,0
160,-705.0,500,0
161,-672.0,477,1
162,-750.0,500,0
163,-875.0,500,0
164,-358.0,263,1
165,-895.0,500,0
166,-770.0,500,0
167,-780.0,500,0
168,-638.0,353,1
169,-825.0,500,0
170,-965.0,500,0
171,-750.0,500,0
172,-416.0,341,1
173,-785.0,500,0
174,-260.0,245,1
175,-855.0,500,0
176,-98.0,138,1
177,-820.0,500,0
178,-815.0,500,0
179,-730.0,500,0
180,-665.0,500,0
181,-206.0,221,1
182,-835.0,500,0
183,-790.0,500,0
184,-815.0,500,0
185,-760.0,500,0
186,-780.0,500,0
187,-322.0,212,1
188,-342.0,297,1
189,-722.0,497,1
190,-845.0,500,0
191,-410.0,340,1
192,-900.0,500,0
193,-935.0,500,0
194,-765.0,500,0
195,-890.0,500,0
196,-338.0,298,1
197,-815.0,500,0
198,-815.0,500,0
199,-895.0,500,0
200,-352.0,317,1
201,-895.0,500,0
202,-725.0,500,0
203,-412.0,317,1
204,-194.0,194,1
205,-810.0,500,0
206,-805.0,500,0
207,-310.0,325,1
208,-785.0,500,0
209,-124.0,169,1
210,-805.0,500,0
211,-94.0,149,1
212,-830.0,500,0
213,-635.0,500,0
214,-174.0,189,1
215,-678.0,393,1
216,-735.0,500,0
217,-860.0,500,0
218,-720.0,500,0
219,-424.0,329,1
220,-815.0,500,0
221,-730.0,500,0
222,-258.0,293,1
223,-760.0,500,0
224,-755.0,500,0
225,-825.0,500,0
226,-28.0,103,1
227,-268.0,218,1
228,-760.0,500,0
229,-622.0,377,1
230,-406.0,301,1
231,-370.0,305,1
232,-825.0,500,0
233,-438.0,348,1
234,-414.0,389,1
235,-202.0,212,1
236,-980.0,500,0
237,-740.0,500,0
238,-785.0,500,0
239,-860.0,500,0
240,-720.0,500,0
241,-845.0,500,0
242,-332.0,277,1
243,-905.0,500,0
244,-675.0,500,0
245,-82.0,157,1
246,-765.0,500,0
