Episode,Rewards,Steps,Success
1,-1040,500,0
2,-712,343,1
3,-785,413,1
4,-804,370,1
5,-1425,500,0
6,-1097,500,0
7,-1109,500,0
8,-1060,500,0
9,-1026,500,0
10,-1209,500,0
11,-1278,500,0
12,-958,500,0
13,-175,159,1
14,-1023,500,0
15,-898,500,0
16,-1029,500,0
17,-1026,500,0
18,-998,500,0
19,-743,428,1
20,-1420,500,0
21,-1006,500,0
22,-983,500,0
23,-1003,500,0
24,-224,173,1
25,-884,493,1
26,-1325,500,0
27,-1121,500,0
28,-1132,500,0
29,-1475,500,0
30,-1139,500,0
31,-168,173,1
32,-1167,394,1
33,-666,381,1
34,-1319,500,0
35,-1047,500,0
36,-1015,500,0
37,-1055,500,0
38,-1239,500,0
39,-891,500,0
40,-975,500,0
41,-1018,500,0
42,-1252,500,0
43,-815,500,0
44,-929,500,0
45,-453,367,1
46,-968,500,0
47,-933,500,0
48,-976,500,0
49,-1001,500,0
50,-361,239,1
51,-1179,500,0
52,-1068,500,0
53,-1169,500,0
54,-1020,500,0
55,-917,500,0
56,-995,500,0
57,-1158,500,0
58,-336,240,1
59,-1074,500,0
60,-1208,500,0
61,-353,330,1
62,-270,192,1
63,-1201,500,0
64,-198,149,1
65,-862,500,0
66,-693,394,1
67,-971,482,1
68,-1099,500,0
69,-1072,500,0
70,-610,384,1
71,-833,461,1
72,-902,500,0
73,-1161,500,0
74,-1216,500,0
75,-194,170,1
76,-290,223,1
77,-988,500,0
78,-180,176,1
79,-1011,500,0
80,-560,261,1
81,-940,500,0
82,-955,500,0
83,-589,431,1
84,-1039,500,0
85,-617,421,1
86,-834,500,0
87,-1239,500,0
88,-340,183,1
89,-388,269,1
90,-1165,500,0
91,-919,500,0
92,-1142,500,0
93,-1143,500,0
94,-1082,500,0
95,-859,500,0
96,-12,80,1
97,-1062,500,0
98,-696,416,1
99,-906,500,0
100,-863,500,0
101,-246,197,1
102,-610,422,1
103,-902,500,0
104,-11,78,1
105,-761,343,1
106,-945,500,0
107,-358,298,1
108,-93,142,1
109,-968,500,0
110,-218,200,1
111,-850,500,0
112,-512,389,1
113,-863,500,0
114,-266,253,1
115,-724,500,0
116,-1009,500,0
117,-1020,500,0
118,-995,500,0
119,-712,413,1
120,-1264,500,0
121,-859,500,0
122,-857,500,0
123,-895,500,0
124,-1287,500,0
125,-719,397,1
126,-699,431,1
127,-398,277,1
128,-948,500,0
129,-242,227,1
130,-486,309,1
131,-632,413,1
132,-983,500,0
133,-402,322,1
134,-967,500,0
135,-1037,500,0
136,-934,500,0
137,-489,367,1
138,-741,500,0
139,-302,248,1
140,-536,392,1
141,-416,349,1
142,-128,151,1
143,-345,282,1
144,-1120,500,0
145,-581,410,1
146,-884,500,0
147,-903,500,0
148,-708,500,0
149,-156,197,1
150,-601,405,1
151,-205,173,1
152,-849,500,0
153,-789,500,0
154,-938,500,0
155,-211,138,1
156,-528,382,1
157,-191,168,1
158,-544,448,1
159,-720,500,0
160,-928,500,0
161,-202,205,1
162,-844,500,0
163,-891,500,0
164,-892,500,0
165,-806,500,0
166,-560,455,1
167,-987,500,0
