Episode,Rewards,Steps,Success
1,-890.0,500,0
2,-366.0,271,1
3,-332.0,247,1
4,-945.0,500,0
5,-800.0,500,0
6,-326.0,241,1
7,-900.0,500,0
8,-1005.0,500,0
9,-480.0,385,1
10,-940.0,500,0
11,-729.0,414,1
12,-394.0,339,1
13,-920.0,500,0
14,-176.0,196,1
15,-416.0,281,1
16,-860.0,500,0
17,-890.0,500,0
18,-572.0,377,1
19,-995.0,500,0
20,-450.0,265,1
21,-400.0,335,1
22,-940.0,500,0
23,-672.0,407,1
24,-865.0,500,0
25,-570.0,375,1
26,-950.0,500,0
27,-763.0,493,1
28,-489.0,364,1
29,-805.0,500,0
30,-895.0,500,0
31,-770.0,500,0
32,-835.0,500,0
33,-990.0,500,0
34,-224.0,244,1
35,-925.0,500,0
36,-935.0,500,0
37,-578.0,428,1
38,-64.0,124,1
39,-815.0,500,0
40,-186.0,191,1
41,-895.0,500,0
42,-62.0,132,1
43,-900.0,500,0
44,-880.0,500,0
45,-840.0,500,0
46,-368.0,308,1
47,-396.0,371,1
48,-785.0,500,0
49,-840.0,500,0
50,-282.0,272,1
51,-775.0,500,0
52,-800.0,500,0
53,-835.0,500,0
54,-795.0,500,0
55,-40.0,110,1
56,-845.0,500,0
57,-825.0,500,0
58,-935.0,500,0
59,-592.0,467,1
60,-835.0,500,0
61,-855.0,500,0
62,-128.0,188,1
63,-725.0,500,0
64,-870.0,500,0
65,-12.0,117,1
66,-292.0,257,1
67,-156.0,141,1
68,14.0,96,1
69,-835.0,500,0
70,-775.0,500,0
71,-950.0,500,0
72,-795.0,500,0
73,-288.0,223,1
74,-388.0,323,1
75,-775.0,500,0
76,-755.0,500,0
77,-810.0,500,0
78,-166.0,201,1
79,-552.0,407,1
80,-494.0,364,1
81,-671.0,446,1
82,-122.0,182,1
83,-965.0,500,0
84,-146.0,176,1
85,-785.0,500,0
86,-693.0,483,1
87,-790.0,500,0
88,-92.0,187,1
89,-36.0,111,1
90,-880.0,500,0
91,-535.0,390,1
92,-915.0,500,0
93,-835.0,500,0
94,-865.0,500,0
95,-210.0,225,1
96,-202.0,232,1
97,-760.0,500,0
98,-855.0,500,0
99,-228.0,268,1
100,-204.0,244,1
101,-820.0,500,0
102,-202.0,212,1
103,-286.0,261,1
104,-626.0,436,1
105,-162.0,177,1
106,-730.0,500,0
107,-326.0,281,1
108,-242.0,212,1
109,-715.0,500,0
110,-200.0,225,1
111,-460.0,385,1
112,-148.0,193,1
113,-364.0,334,1
114,-865.0,500,0
115,-234.0,269,1
116,-685.0,500,0
117,-296.0,276,1
118,-16.0,131,1
119,-186.0,191,1
120,-820.0,500,0
121,-218.0,253,1
122,-276.0,286,1
123,-690.0,500,0
124,-740.0,500,0
125,-412.0,387,1
126,-264.0,269,1
127,-735.0,500,0
128,-770.0,500,0
129,-10.0,115,1
130,-765.0,500,0
131,-830.0,500,0
132,-790.0,500,0
133,-540.0,465,1
134,-775.0,500,0
135,-288.0,263,1
136,-770.0,500,0
137,-260.0,295,1
138,-42.0,132,1
139,-144.0,199,1
140,-188.0,188,1
141,-840.0,500,0
142,-272.0,297,1
143,-755.0,500,0
144,-760.0,500,0
145,-286.0,296,1
146,-172.0,212,1
147,-60.0,150,1
148,-740.0,500,0
149,-58.0,153,1
150,-216.0,236,1
151,-432.0,412,1
152,-905.0,500,0
153,-48.0,123,1
154,-188.0,223,1
155,-740.0,500,0
156,-785.0,500,0
157,-665.0,500,0
158,-56.0,111,1
159,-735.0,500,0
160,2.0,103,1
161,-730.0,500,0
162,-555.0,375,1
163,-348.0,313,1
164,-720.0,500,0
165,-495.0,405,1
166,-425.0,345,1
167,-8.0,113,1
168,24.0,86,1
169,-122.0,177,1
170,-14.0,134,1
171,-378.0,333,1
172,-18.0,133,1
173,-805.0,500,0
174,-230.0,265,1
175,-94.0,164,1
176,-780.0,500,0
177,-78.0,153,1
178,-180.0,245,1
179,14.0,101,1
180,-700.0,500,0
181,-49.0,129,1
182,-286.0,271,1
183,-92.0,147,1
184,-44.0,134,1
185,-28.0,128,1
186,6.0,124,1
187,-176.0,236,1
188,-202.0,217,1
189,-640.0,500,0
190,-390.0,355,1
191,-825.0,500,0
192,-174.0,204,1
193,46.0,69,1
194,-488.0,433,1
195,-78.0,173,1
196,-600.0,500,0
197,-12.0,117,1
198,-354.0,324,1
199,-300.0,245,1
200,-705.0,500,0
201,-266.0,276,1
202,-740.0,500,0
203,-262.0,302,1
204,10.0,105,1
205,18.0,92,1
206,-700.0,500,0
207,-613.0,413,1
208,-18.0,113,1
209,-760.0,500,0
210,-6.0,121,1
211,-700.0,500,0
212,-96.0,176,1
213,-735.0,500,0
214,0.0,105,1
215,-377.0,347,1
216,-675.0,500,0
217,-630.0,500,0
218,-695.0,500,0
219,46.0,89,1
220,-730.0,500,0
221,-670.0,500,0
222,-380.0,320,1
223,-271.0,271,1
224,-447.0,372,1
225,18.0,102,1
226,-445.0,335,1
227,-20.0,110,1
228,-70.0,155,1
229,-705.0,500,0
230,-116.0,196,1
231,-468.0,413,1
232,-675.0,500,0
233,-165.0,220,1
234,-252.0,257,1
235,-394.0,319,1
236,-710.0,500,0
