Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1684,0,500,102,14
2,-1531,0,500,72,15
3,-1597,0,500,86,17
4,-1680,0,500,129,1
5,-1782,0,500,124,1
6,-1763,0,500,108,5
7,-1915,0,500,121,12
8,-1435,0,500,87,8
9,-1737,0,500,110,13
10,-1382,0,500,79,9
11,-2001,0,500,95,34
12,-1746,0,500,92,22
13,-1701,0,500,63,5
14,-1806,0,500,95,16
15,-1636,0,500,122,2
16,-1352,0,500,63,15
17,-1566,0,500,72,22
18,-1799,0,500,90,18
19,-1642,0,500,71,11
20,-2061,0,500,78,22
21,-1828,0,500,79,17
22,-1568,0,500,90,11
23,-1876,0,500,107,14
24,-1711,0,500,111,6
25,-1785,0,500,90,25
26,-1409,0,500,82,9
27,-1693,0,500,103,14
28,-572,1,236,38,5
29,-1656,0,500,101,13
30,-1486,0,500,80,14
31,-1938,0,500,80,12
32,-1536,0,500,94,10
33,-1472,0,500,70,18
34,-1723,0,500,90,14
35,-1541,0,500,74,12
36,-1592,0,500,73,10
37,-1554,0,500,83,11
38,-1511,0,500,77,9
39,-1476,0,500,84,9
40,-1359,0,500,87,4
41,-1310,0,500,71,9
42,-1579,0,500,80,6
43,-1850,0,500,56,11
44,-1494,0,500,92,1
45,-1988,0,500,88,16
46,-1482,0,500,72,15
47,-1926,0,500,102,19
48,-2180,0,500,97,27
49,-1986,0,500,92,14
50,-1473,0,500,71,15
51,-1511,0,500,90,8
52,-1220,0,500,61,9
53,-1285,0,500,57,4
54,-1618,0,500,69,21
55,-1440,0,500,77,13
56,-1418,0,500,67,14
57,-1453,0,500,89,8
58,-1414,0,500,91,5
59,-1263,0,500,57,8
60,-1303,0,500,66,11
61,-1281,0,500,72,7
62,-2232,1,494,95,26
63,-1501,0,500,94,3
64,-1392,0,500,81,6
65,-1515,0,500,79,16
66,-1600,0,500,99,11
67,-1184,0,500,57,9
68,-1606,0,500,109,4
69,-1378,0,500,74,6
70,-1258,0,500,61,11
71,-1299,0,500,74,7
72,-1245,0,500,52,12
73,-514,1,258,30,2
74,-1296,0,500,61,13
75,-1730,0,500,76,21
76,-1278,0,500,62,9
77,-1700,0,500,76,22
78,-1343,0,500,81,6
79,-1570,0,500,102,8
80,-1349,0,500,88,3
81,-1421,0,500,96,3
82,-1271,0,500,50,4
83,-1413,0,500,80,5
84,-1120,0,500,52,8
85,-1704,0,500,119,7
86,-1394,0,500,74,12
87,-1296,0,500,64,9
88,-1612,0,500,75,23
89,-1014,0,500,36,10
90,-1451,0,500,74,15
91,-1435,0,500,71,13
92,-1382,0,500,79,9
93,-1335,0,500,62,12
94,-1635,0,500,63,17
95,-1348,0,500,74,7
96,-1395,0,500,43,19
97,-1304,0,500,64,12
98,-1158,0,500,45,3
99,-1465,0,500,64,5
100,-1516,0,500,54,15
101,-1638,0,500,56,5
102,-1232,0,500,75,3
103,-1100,0,500,38,11
104,-1271,0,500,76,2
105,-1219,0,500,63,8
106,-1234,0,500,58,6
107,-1152,0,500,48,9
108,-1252,0,500,47,7
109,-1194,0,500,75,1
110,-1233,0,500,73,4
111,-1097,0,500,44,8
112,-1139,0,500,52,9
113,-1156,0,500,56,8
114,-1237,0,500,49,13
115,-1177,0,500,55,7
116,-1252,0,500,60,6
117,-1329,0,500,74,6
118,-1186,0,500,53,11
119,-1129,0,500,53,8
120,-1101,0,500,55,3
121,-1115,0,500,49,4
122,-1301,0,500,70,9
123,-1174,0,500,42,13
124,-1203,0,500,57,10
125,-1177,0,500,71,2
126,-1124,0,500,50,4
127,-921,0,500,35,3
128,-1396,0,500,63,7
129,-2086,0,500,92,27
130,-1151,0,500,50,8
131,-990,0,500,46,4
132,-1450,0,500,57,23
133,-962,0,500,26,12
134,-1090,0,500,55,5
135,-1036,0,500,49,5
136,-887,0,500,43,0
137,-1191,0,500,30,17
138,-1269,0,500,64,5
139,-1212,0,500,42,15
140,-1107,0,500,27,14
141,-1562,0,500,73,11
142,-975,0,500,41,3
143,-1177,0,500,42,8
144,-824,0,500,36,0
145,-1221,0,500,52,3
146,-1130,0,500,28,7
147,-179,1,163,13,0
148,-1070,0,500,41,8
149,-1202,0,500,40,18
150,-964,0,500,41,5
151,-1480,0,500,69,6
152,-1084,0,500,48,8
153,-1317,0,500,47,13
154,-1092,0,500,54,3
155,-1021,0,500,41,8
156,-1159,0,500,69,2
157,-808,0,500,30,2
158,-1232,0,500,56,12
159,-1055,0,500,36,7
160,-1218,0,500,65,7
161,-1332,0,500,55,10
162,-1103,0,500,35,10
163,-1092,0,500,38,8
164,-1173,0,500,44,12
