Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1726,0,500,113,11
2,-1628,0,500,81,21
3,-1679,0,500,102,6
4,-1638,0,500,99,13
5,-1022,1,336,66,5
6,-1293,0,500,70,6
7,-1785,0,500,112,12
8,-1786,0,500,90,7
9,-1705,0,500,117,8
10,-1747,0,500,83,16
11,-1589,0,500,102,9
12,-1519,0,500,96,3
13,-2024,0,500,102,19
14,-1385,0,500,92,3
15,-1455,0,500,104,1
16,-1750,0,500,103,17
17,-1835,0,500,77,8
18,-1717,0,500,96,16
19,-1307,1,417,89,10
20,-1504,0,500,72,11
21,-1666,0,500,106,6
22,-2092,0,500,92,17
23,-1775,0,500,97,16
24,-1882,0,500,86,32
25,-1832,0,500,81,24
26,-1638,1,457,95,7
27,-1505,0,500,99,6
28,-1806,0,500,105,19
29,-1006,1,348,62,8
30,-1349,0,500,62,5
31,-1747,0,500,61,29
32,-1499,0,500,73,18
33,-1479,0,500,94,7
34,-184,1,129,11,3
35,-1464,0,500,70,15
36,-1434,0,500,89,7
37,-1255,1,452,66,6
38,-1794,0,500,87,14
39,-1483,0,500,86,11
40,-1407,0,500,86,7
41,-1691,0,500,77,3
42,-1425,0,500,69,16
43,-1855,0,500,79,21
44,-1610,0,500,79,21
45,-1376,0,500,72,12
46,-1257,0,500,82,1
47,-1446,0,500,71,11
48,-1300,0,500,72,8
49,-1326,0,500,58,16
50,-1206,0,500,51,13
51,-1173,0,500,53,0
52,-1763,0,500,73,19
53,-1783,0,500,87,16
54,-1479,0,500,62,17
55,-1282,0,500,70,8
56,-1330,0,500,69,11
57,-1444,0,500,91,4
58,-1378,0,500,71,10
59,-1304,0,500,64,12
60,-1223,0,500,64,0
61,-1758,0,500,83,14
62,-1269,0,500,77,4
63,-1358,0,500,44,14
64,-1468,0,500,59,23
65,-1272,0,500,42,13
66,-1205,0,500,43,9
67,-1104,0,500,49,6
68,-1256,0,500,65,9
69,-1291,0,500,71,8
70,-1275,0,500,49,15
71,-1605,0,500,73,21
72,-1065,0,500,51,3
73,-1447,0,500,62,5
74,-1518,0,500,50,17
75,-921,1,380,52,4
76,-1207,0,500,55,6
77,-1160,0,500,48,12
78,-1586,0,500,98,3
79,-492,1,192,34,5
80,-1107,0,500,59,4
81,-1139,1,496,70,6
82,-1495,0,500,68,15
83,-1242,0,500,74,4
84,-1219,0,500,50,9
85,-1278,0,500,65,5
86,-1398,1,423,67,12
87,-1080,0,500,56,4
88,-1005,0,500,35,10
89,-1297,0,500,59,14
90,-1130,0,500,70,0
91,-1310,0,500,71,9
92,-1519,0,500,71,20
93,-1251,0,500,75,4
94,-1095,0,500,64,1
95,-1062,0,500,54,4
96,-1230,0,500,34,12
97,-1211,0,500,44,14
98,-1435,0,500,64,6
99,-1080,0,500,40,9
100,-926,0,500,41,3
101,-646,1,284,20,2
102,-1255,1,424,67,7
103,-1117,0,500,61,1
104,-533,1,317,31,2
105,-1076,0,500,35,6
106,-1087,0,500,61,2
107,-1326,0,500,54,5
108,-442,1,236,32,1
109,-471,1,284,32,0
110,-1263,0,500,54,12
111,-967,0,500,35,8
112,-1109,0,500,55,6
113,-1062,0,500,28,6
114,-994,0,500,41,4
115,-1161,0,500,46,13
116,-783,1,436,35,7
117,-1288,0,500,48,11
118,-347,1,195,13,2
119,-875,0,500,29,6
120,-1030,0,500,19,6
121,-774,1,423,33,3
122,-1076,0,500,32,10
123,-1040,0,500,60,0
124,-928,0,500,27,2
125,-1171,1,496,50,12
126,-1090,0,500,32,3
127,-993,0,500,40,7
128,-589,1,454,22,2
129,-994,0,500,41,4
130,-1158,0,500,45,3
131,-1389,0,500,58,9
132,-994,0,500,44,0
133,-987,0,500,39,2
134,-1022,0,500,42,5
135,-323,1,217,23,0
136,-1044,0,500,42,1
137,-1141,0,500,48,11
138,-1031,0,500,46,1
139,-1017,0,500,36,5
140,-1218,0,500,65,7
141,-686,1,368,36,5
142,-1223,0,500,55,12
143,-1143,0,500,50,5
144,-1183,0,500,59,8
145,-999,0,500,28,13
146,-1061,0,500,30,5
147,-997,0,500,51,2
148,-521,1,357,21,4
149,-1193,0,500,35,7
150,-1122,0,500,67,1
151,-1078,0,500,34,4
152,-944,0,500,30,4
153,-1049,0,500,29,10
154,-901,0,500,34,5
155,-986,0,500,35,9
156,-1072,0,500,37,10
157,-309,1,275,15,0
158,-1154,0,500,41,15
159,-284,1,231,15,1
160,-1051,0,500,22,16
161,-1046,0,500,35,7
162,-1100,0,500,35,15
163,-1240,0,500,42,1
164,-669,1,374,44,0
165,-651,1,376,30,3
166,-1190,0,500,48,11
167,-1126,0,500,40,14
168,-727,1,383,41,4
169,-105,1,161,5,0
170,-937,0,500,38,5
171,-762,0,500,27,1
172,-1045,0,500,50,5
173,-956,0,500,38,6
174,-393,1,276,20,2
175,-604,1,425,29,1
176,-1070,0,500,38,12
177,-1027,0,500,35,6
178,-643,1,359,31,3
179,-305,1,289,13,0
180,-910,0,500,35,5
181,-885,0,500,31,3
182,-1091,0,500,37,11
183,-597,1,273,43,2
184,-794,1,438,36,7
185,-698,1,375,29,6
