Episode,Reward,Success
1,-1418,0
2,-1736,0
3,-1489,0
4,-893,1
5,-1716,0
6,-761,1
7,-1747,0
8,-2173,0
9,-1829,0
10,-2169,0
11,-1775,0
12,-1711,0
13,-1123,1
14,-1709,0
15,-1347,0
16,-1410,0
17,-1423,0
18,-681,1
19,-1860,0
20,-1276,0
21,-1291,0
22,-1543,0
23,-1833,0
24,-1679,0
25,-2080,0
26,-1722,0
27,-1678,0
28,-1373,0
29,-1386,0
30,-459,1
31,-1720,0
32,-1519,0
33,-1201,1
34,-1159,1
35,-1424,0
36,-1408,0
37,-1494,0
38,-1525,0
39,-1406,0
40,-1342,0
41,-1409,0
42,-1595,0
43,-1163,1
44,-1116,1
45,-1303,0
46,-434,1
47,-874,1
48,-1471,0
49,-554,1
50,-1439,1
51,-524,1
52,-849,1
53,-765,1
54,-1438,0
55,-1292,0
56,-1569,0
57,-1146,1
58,-324,1
59,-1435,0
60,-1365,0
61,-759,1
62,-1505,0
63,-1219,0
64,-1493,0
65,-403,1
66,-1003,1
67,-410,1
68,-1123,0
69,-1625,0
70,-967,0
71,-1240,1
72,-648,1
73,-1427,0
74,-1100,0
75,-710,1
76,-731,1
77,-1325,0
78,-1419,0
79,-500,1
80,-308,1
81,-1143,0
82,-584,1
83,-906,1
84,-1170,0
85,-578,1
86,-1247,0
87,-1164,0
88,-1137,0
89,-763,1
90,-1259,0
91,-838,1
92,-1213,0
93,-903,0
94,-757,1
95,-428,1
96,-836,0
97,-433,1
98,-997,1
99,-482,1
100,-145,1
101,-586,1
102,-536,1
103,-253,1
104,-1290,0
105,-621,1
106,-1016,0
107,-958,0
108,-949,1
109,-258,1
110,-978,0
111,-1117,0
112,-829,1
113,-439,1
114,-542,1
115,-1412,0
116,-37,1
117,-566,1
118,-870,1
119,-1028,0
120,-1002,1
121,-908,1
122,-896,0
123,-547,1
124,-173,1
125,-1131,0
126,-176,1
127,-148,1
128,-1430,0
129,-634,1
130,-869,0
131,-61,1
132,-951,1
133,-328,1
134,-409,1
135,-1181,0
136,-165,1
137,-558,1
138,-382,1
139,-1051,0
140,-1476,0
141,-507,1
142,-1009,0
143,-1035,0
144,-246,1
145,-1231,0
146,-522,1
147,-228,1
148,-993,0
149,-1265,0
150,-760,1
151,-991,0
152,-152,1
153,-950,0
154,-81,1
155,-940,0
156,-343,1
157,-1210,0
158,-1175,0
159,-283,1
160,-836,1
161,-556,1
162,-939,0
163,-418,1
164,-884,0
165,-35,1
166,-216,1
167,-182,1
168,-216,1
169,-868,0
170,-1196,0
171,-538,1
172,-1024,0
173,-898,0
174,-24,1
175,-363,1
176,-460,1
177,-244,1
178,-107,1
179,-258,1
180,-565,1
181,-385,1
182,-949,0
183,-1009,0
184,-97,1
185,-1068,0
186,-673,1
187,-239,1
188,-622,1
189,-37,1
190,-480,1
191,-180,1
192,-510,1
193,-461,1
194,-570,1
195,-753,1
196,-339,1
197,-921,0
198,-388,1
199,-424,1
200,-298,1
201,-932,0
202,-433,1
203,-363,1
204,-1077,0
205,-343,1
206,-1019,0
207,-920,0
208,-135,1
209,-9,1
210,-967,0
211,-995,0
212,-330,1
213,-500,1
214,-179,1
215,-342,1
216,-408,1
217,-469,1
218,-226,1
219,-521,1
220,-216,1
221,-211,1
222,-1148,0
223,-946,0
224,-614,1
225,-114,1
226,-58,1
227,-328,1
228,-951,0
229,-6,1
230,-456,1
231,-101,1
232,-481,1
233,-785,0
234,-186,1
235,-116,1
236,-281,1
237,-171,1
238,-201,1
239,-357,1
240,-215,1
241,-999,0
242,-241,1
243,-353,1
244,-577,1
245,-161,1
246,-154,1
247,-269,1
248,-148,1
249,-834,0
250,-88,1
251,-241,1
252,-545,1
253,-619,1
254,-926,0
255,-848,0
256,-448,1
257,-1110,0
258,-265,1
259,-325,1
260,-34,1
261,-85,1
262,-294,1
263,-539,1
264,-284,1
265,-92,1
266,-312,1
267,-522,1
268,-539,1
269,-258,1
270,-370,1
271,-274,1
272,-229,1
273,-723,0
274,-762,0
275,-802,0
276,-81,1
277,-160,1
278,-62,1
279,-190,1
280,-283,1
281,-902,0
282,-187,1
283,-17,1
284,-239,1
285,-322,1
286,-155,1
287,-25,1
288,-192,1
289,-31,1
290,-757,0
291,-75,1
292,-837,0
293,-323,1
294,-448,1
295,-132,1
296,-15,1
297,-158,1
298,-688,1
299,-348,1
300,-284,1
