Episode,Reward,Success
1,-1461,0
2,-2635,0
3,-1690,0
4,-717,1
5,-1767,0
6,-1622,0
7,-1798,0
8,-1914,0
9,-1927,0
10,-1130,1
11,-1239,1
12,-1742,0
13,-1747,0
14,-1250,0
15,-1070,1
16,-1544,0
17,-1360,0
18,-1472,0
19,-1359,0
20,-1747,0
21,-1770,0
22,-952,1
23,-1501,0
24,-1452,0
25,-1377,0
26,-1685,0
27,-1206,0
28,-1307,0
29,-1307,0
30,-1316,0
31,-1863,0
32,-1478,0
33,-1886,0
34,-1457,0
35,-1369,0
36,-1557,0
37,-407,1
38,-309,1
39,-1246,0
40,-1339,0
41,-1555,0
42,-1515,0
43,-1098,0
44,-1071,0
45,-1779,0
46,-1408,0
47,-1394,0
48,-1467,0
49,-1201,0
50,-1142,1
51,-1340,0
52,-1684,1
53,-1681,0
54,-1198,1
55,-1569,0
56,-1650,0
57,-864,1
58,-786,1
59,-1161,0
60,-1372,0
61,-1396,0
62,-1209,0
63,-1164,1
64,-1578,0
65,-909,1
66,-1282,0
67,-448,1
68,-1095,0
69,-1312,0
70,-543,1
71,-1209,0
72,-922,1
73,-575,1
74,-738,1
75,-1275,0
76,-1280,0
77,-1406,0
78,-1118,0
79,-2026,0
80,-1424,0
81,-1148,0
82,-401,1
83,-1242,0
84,-1396,0
85,-1189,0
86,-1208,0
87,-1194,0
88,-1007,0
89,-508,1
90,-1232,0
91,-408,1
92,-1453,0
93,-803,1
94,-1321,0
95,-1344,0
96,-1312,0
97,-1301,0
98,-1427,0
99,-1263,0
100,-1041,0
101,-1111,1
102,-1216,0
103,-217,1
104,-791,1
105,-1288,0
106,-240,1
107,-535,1
108,-1044,0
109,-1147,0
110,-1157,0
111,-352,1
112,-401,1
113,-294,1
114,-1144,0
115,-1131,0
116,-478,1
117,-453,1
118,-1073,1
119,-1240,0
120,-839,1
121,-576,1
122,-496,1
123,-99,1
124,-1368,0
125,-1077,0
126,-405,1
127,-1029,1
128,-53,1
129,-964,0
130,-1207,0
131,-1670,0
132,-417,1
133,-1087,0
134,-1047,0
135,-839,1
136,-716,0
137,-843,0
138,-958,0
139,-288,1
140,-898,0
141,-516,1
142,-252,1
143,-1014,0
144,-523,1
145,-1032,0
146,-355,1
147,-1137,0
148,-1334,0
149,-594,1
150,-1021,0
151,-1017,0
152,-974,0
153,-1087,0
154,-1055,1
155,-852,0
156,-1119,0
157,-1059,0
158,-140,1
159,-360,1
160,-560,1
161,-1097,0
162,-503,1
163,-263,1
164,-187,1
165,-758,1
166,-1168,0
167,-1069,0
168,-265,1
169,-828,1
170,-854,0
171,-818,0
172,-674,1
173,-346,1
174,-987,0
175,-332,1
176,-708,1
177,-261,1
178,-1042,0
179,-1152,0
180,-674,1
181,-126,1
182,-1006,1
183,-1392,0
184,-307,1
185,-295,1
186,-1008,0
187,-1042,0
188,-1091,0
189,-71,1
190,-420,1
191,-975,1
192,-222,1
193,-765,0
194,-132,1
195,-856,1
196,-1085,0
197,-703,1
198,-869,0
199,-326,1
200,-391,1
201,-521,1
202,-471,1
203,-1177,0
204,-402,1
205,-424,1
206,-754,1
207,-758,0
208,-880,0
209,-899,0
210,23,1
211,-1042,0
212,-590,1
213,-437,1
214,-870,0
215,-291,1
216,-779,0
217,-165,1
218,-254,1
219,-1198,0
220,-834,0
221,-878,0
222,-394,1
223,-447,1
224,-879,0
225,-970,0
226,-1069,0
227,-978,0
228,-1032,0
229,-935,0
230,-124,1
231,-436,1
232,-802,0
233,-869,0
234,-883,0
235,-907,0
236,-273,1
237,-953,0
238,-449,1
239,-756,0
240,-869,0
241,-830,0
242,-389,1
243,-826,0
244,-916,0
245,-154,1
246,-551,1
247,-369,1
248,-140,1
249,-869,0
250,-633,1
251,-802,0
252,-683,1
253,-470,1
254,-463,1
255,-267,1
256,-565,1
257,-308,1
258,-109,1
259,-421,1
260,-689,0
261,-318,1
262,-222,1
263,-743,0
264,-289,1
265,-53,1
266,-286,1
267,-834,0
268,-422,1
269,-918,0
270,-756,0
271,-803,0
272,-564,1
273,-848,0
274,-469,1
275,-815,0
276,-121,1
277,-766,0
278,-159,1
279,-451,1
280,-7,1
281,-1160,0
282,-726,0
283,-48,1
284,-11,1
285,-287,1
286,-501,1
287,-829,1
288,-173,1
289,-631,1
290,-879,0
291,-194,1
292,-133,1
293,-512,1
294,-264,1
295,-774,0
296,-987,0
297,-875,0
298,-207,1
299,-131,1
300,-356,1
