Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1848,0,500,100,21
2,-1738,0,500,95,15
3,-1769,0,500,93,15
4,-1823,0,500,99,15
5,-1747,0,500,83,16
6,-2013,0,500,98,10
7,-2063,0,500,123,24
8,-1795,0,500,114,9
9,-2097,0,500,118,23
10,-1656,0,500,104,9
11,-1797,0,500,107,15
12,-1699,0,500,84,13
13,-1546,0,500,64,17
14,-1333,0,500,82,5
15,-1424,0,500,90,6
16,-1719,0,500,89,22
17,-1535,0,500,96,9
18,-1345,0,500,80,4
19,-1331,1,430,70,17
20,-1337,0,500,93,0
21,-1607,0,500,104,9
22,-1609,0,500,100,11
23,-1547,0,500,91,12
24,-1230,0,500,63,6
25,-1834,0,500,96,17
26,-1389,0,500,55,13
27,-1306,0,500,50,11
28,-1355,0,500,66,6
29,-1773,0,500,62,17
30,-1486,0,500,99,5
31,-2199,0,500,117,34
32,-1526,0,500,56,12
33,-764,1,300,48,7
34,-1386,0,500,90,4
35,-1460,0,500,97,2
36,-1418,0,500,67,14
37,-1579,0,500,64,11
38,-1437,0,500,86,6
39,-1744,0,500,102,12
40,-1598,0,500,103,9
41,-1617,0,500,84,19
42,-1468,0,500,84,6
43,-2143,0,500,81,12
44,-1923,0,500,70,34
45,-1468,0,500,81,10
46,-1512,0,500,85,13
47,-1193,0,500,61,5
48,-1661,0,500,94,14
49,-1485,0,500,69,14
50,-1510,0,500,95,3
51,-1658,0,500,84,16
52,-1154,0,500,60,6
53,-1450,0,500,76,14
54,-1562,0,500,80,18
55,-1599,0,500,59,17
56,-1339,0,500,63,4
57,-1390,0,500,63,17
58,-1268,0,500,60,12
59,-1272,0,500,74,3
60,-1409,0,500,50,19
61,-1204,0,500,55,11
62,-1042,1,393,58,12
63,-1666,0,500,65,28
64,-1757,0,500,79,21
65,-1361,0,500,67,11
66,-1600,0,500,99,11
67,-1325,0,500,60,15
68,-1526,0,500,82,10
69,-1376,0,500,72,12
70,-1674,0,500,74,19
71,-1198,0,500,54,6
72,-1589,0,500,73,15
73,-1245,0,500,68,7
74,-1331,0,500,67,12
75,-1913,0,500,58,34
76,-499,1,292,30,2
77,-1458,0,500,60,22
78,-1145,0,500,59,6
79,-1181,0,500,63,6
