Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1622,0,500,96,11
2,-1691,0,500,126,3
3,-1760,0,500,89,19
4,-2299,0,500,112,21
5,-1686,0,500,98,16
6,-1419,1,491,89,12
7,-1708,0,500,88,9
8,-1982,0,500,74,12
9,-1700,0,500,95,13
10,-1632,0,500,92,16
11,-1631,0,500,81,16
12,-2159,0,500,146,13
13,-1430,0,500,74,1
14,-1847,0,500,102,20
15,-1839,0,500,102,17
16,-1465,0,500,84,11
17,-1865,0,500,88,25
18,-1218,0,500,65,7
19,-1367,0,500,51,6
20,-1518,0,500,92,10
21,-1428,0,500,85,6
22,-1686,0,500,104,8
23,-1570,0,500,102,8
24,-1696,0,500,71,19
25,-1570,0,500,105,4
26,-1453,0,500,89,8
27,-1556,0,500,92,12
28,-1567,0,500,92,10
29,-1510,0,500,89,11
30,-1225,0,500,73,1
31,-1599,0,500,104,6
32,-1678,0,500,95,17
33,-1828,0,500,99,23
34,-1498,0,500,75,17
35,-1474,0,500,75,8
36,-1429,0,500,50,2
37,-1201,0,500,64,4
38,-1579,0,500,84,17
39,-1557,0,500,57,8
40,-1316,0,500,81,2
41,-1985,0,500,89,36
42,-1456,0,500,54,17
43,-1691,0,500,91,17
44,-1648,0,500,72,16
45,-1253,0,500,71,6
46,-1161,0,500,68,0
47,-1519,0,500,80,8
48,-1940,0,500,99,16
49,-1032,1,490,50,5
50,-1659,0,500,98,12
51,-1366,0,500,92,2
52,-1357,0,500,65,4
53,-1832,0,500,129,9
54,-1214,0,500,57,8
55,-1567,0,500,51,32
56,-931,1,352,46,14
57,-1404,0,500,73,13
58,-1717,0,500,58,34
59,-721,1,358,44,1
60,-1659,0,500,95,16
61,-1596,0,500,69,25
62,-1315,0,500,51,11
63,-1071,0,500,36,13
64,-1201,0,500,42,17
65,-1220,0,500,80,0
66,-1379,0,500,56,12
67,-1199,0,500,68,2
68,-1451,0,500,70,4
69,-1183,0,500,62,4
70,-1556,0,500,73,21
71,-1462,0,500,71,17
72,-1175,0,500,75,0
73,-1650,0,500,67,3
74,-1560,0,500,84,16
75,-1442,0,500,57,20
76,-1406,0,500,56,16
77,-1575,0,500,54,31
78,-597,1,374,36,0
79,-1232,0,500,75,3
80,-1207,0,500,68,5
81,-1049,0,500,61,0
82,-1349,0,500,69,12
83,-1553,0,500,85,10
84,-1532,0,500,64,24
85,-1422,0,500,56,22
86,-1596,0,500,69,25
87,-1332,0,500,84,4
88,-1380,0,500,67,12
89,-1233,0,500,41,14
90,-1344,0,500,47,17
91,-1394,0,500,61,13
92,-1062,0,500,54,4
93,-1362,0,500,62,16
94,-933,0,500,46,1
95,-1375,0,500,55,20
96,-1531,0,500,66,23
97,-1374,0,500,50,12
98,-586,1,308,40,1
99,-1114,0,500,45,11
100,-1391,0,500,61,18
101,-1487,0,500,78,15
102,-1199,0,500,65,6
103,-789,1,406,42,3
104,-1309,0,500,60,9
105,-1385,0,500,47,14
106,-1197,0,500,50,13
107,-1414,0,500,53,23
108,-1188,0,500,52,9
109,-1124,0,500,47,8
110,-1319,0,500,53,18
111,-1450,0,500,57,23
112,-1450,0,500,57,23
113,-1082,1,468,58,5
114,-286,1,213,13,3
115,-220,1,185,13,1
116,-925,0,500,43,2
117,-1327,0,500,59,13
118,-993,0,500,40,7
119,-778,1,500,40,1
120,-1100,0,500,54,6
121,-1002,0,500,44,3
122,-1526,0,500,62,4
123,-807,0,500,32,1
124,-1102,0,500,31,17
125,-328,1,230,20,1
126,-475,1,261,35,0
127,-1077,0,500,62,1
128,-1280,0,500,36,24
129,-1435,0,500,61,10
130,-1362,0,500,43,25
131,-438,1,293,21,3
132,-1511,0,500,55,22
133,-1435,0,500,58,14
134,-1033,1,480,50,3
135,-893,0,500,34,2
136,-911,0,500,36,2
137,-1159,0,500,53,7
138,-794,0,500,20,6
139,-624,1,382,36,1
140,-376,1,305,17,1
141,-1107,0,500,40,13
142,-1291,0,500,52,17
143,-927,0,500,20,13
144,-1317,0,500,38,25
145,-973,0,500,29,6
146,-1503,0,500,49,27
147,-1331,0,500,67,12
148,-1159,0,500,37,12
