Episode,Reward,Success
1,-2113,0
2,-1699,0
3,-729,1
4,-1592,1
5,-1687,0
6,-2010,0
7,-1506,0
8,-1653,0
9,-1953,0
10,-1163,1
11,-1817,0
12,-1933,0
13,-1864,0
14,-1489,0
15,-360,1
16,-1440,0
17,-1798,0
18,-1410,0
19,-1628,0
20,-1526,0
21,-1266,0
22,-1249,1
23,-1726,0
24,-1334,0
25,-1349,0
26,-547,1
27,-1547,0
28,-1371,0
29,-1851,0
30,-1258,0
31,-1334,0
32,-1635,0
33,-1554,0
34,-1587,0
35,-928,1
36,-1224,0
37,-1203,0
38,-795,1
39,-818,1
40,-1759,0
41,-725,1
42,-1102,0
43,-1811,1
44,-1557,0
45,-1334,0
46,-1366,0
47,-574,1
48,-1286,0
49,-1251,0
50,-1548,0
51,-421,1
52,-1084,1
53,-1322,0
54,-1223,0
55,-1132,0
56,-1536,0
57,-1463,0
58,-2001,0
59,-1325,0
60,-1445,0
61,-1028,0
62,-1267,1
63,-1285,0
64,-1228,0
65,-484,1
66,-554,1
67,-387,1
68,-1539,0
69,-1085,0
70,-1175,0
71,-936,1
72,-1336,0
73,-1251,0
74,-1204,0
75,-1168,0
76,-1179,0
77,-1103,0
78,-1282,0
79,-472,1
80,-47,1
81,-972,0
82,-1104,0
83,-971,0
84,-225,1
85,-1227,0
86,-1052,0
87,-539,1
88,-214,1
89,-1243,0
90,-432,1
91,-805,0
92,-993,0
93,-888,0
94,-1225,0
95,-992,0
96,-173,1
97,-1046,0
98,-1346,0
99,-1142,0
100,-1052,0
101,-374,1
102,-925,1
103,-1053,1
104,-1181,0
105,-376,1
106,-552,1
107,-340,1
108,-1228,0
109,-848,1
110,-846,0
111,-1327,0
112,-826,1
113,-290,1
114,-933,1
115,-1410,0
116,-944,0
117,-893,0
118,-795,0
119,-1093,0
120,-431,1
121,-691,1
122,-1036,0
123,-1225,1
124,-931,0
125,-419,1
126,-929,0
127,-797,0
128,-808,1
129,-1337,0
130,-852,0
131,-883,0
132,-1141,1
133,-1090,0
134,-965,1
135,-815,0
136,-1149,0
137,-975,0
138,-1034,0
139,-1014,0
140,-973,0
141,-1038,0
142,-920,0
143,-857,0
144,-1377,0
145,-926,0
146,-935,0
147,-1035,0
148,-665,1
149,-861,0
150,-929,0
151,-862,0
152,-1231,0
153,-1139,0
154,-926,0
155,-722,1
156,-891,0
157,-825,0
158,-568,1
159,-1051,0
160,-920,0
161,-890,0
162,-564,1
163,-1241,0
164,-744,1
165,-749,0
166,-972,0
167,-828,0
168,-718,0
169,-1097,0
170,-824,0
171,-882,0
172,-1230,0
173,-979,0
174,-1159,0
175,-420,1
176,-951,0
177,-852,0
178,-887,0
179,-492,1
180,-985,0
181,-1018,0
182,-624,1
183,-902,0
184,-833,0
185,-319,1
186,-914,0
187,-872,0
188,-827,0
189,-106,1
190,-977,0
191,-946,0
192,-354,1
193,-798,0
194,-830,0
195,-372,1
196,-668,1
197,-224,1
198,-225,1
199,-831,0
200,-1367,0
201,-440,1
202,-739,0
203,-757,1
204,-581,1
205,-770,0
206,-688,1
207,-110,1
208,-778,0
209,-1065,0
210,-791,0
211,-332,1
212,-728,0
213,-716,0
214,-922,0
215,-771,1
216,-82,1
217,-922,0
218,-913,0
219,-734,0
220,-73,1
221,-923,0
222,-842,0
223,-680,0
224,-234,1
225,-1319,0
226,-821,1
227,-743,1
228,-433,1
229,-330,1
230,-221,1
231,-121,1
232,-1031,0
233,35,1
234,-768,1
235,-56,1
236,-89,1
237,-805,0
238,-772,0
239,-516,1
240,-343,1
241,-771,0
242,-107,1
243,-654,0
244,-1011,0
245,-719,1
246,-698,1
247,-383,1
248,-250,1
249,-1044,0
250,-925,0
251,-459,1
252,-762,0
253,-729,0
254,-59,1
255,-1067,0
256,-1,1
257,-217,1
258,-696,0
259,-304,1
260,-1273,0
261,-952,0
262,-505,1
263,-531,1
264,-936,0
265,-808,0
266,-646,0
267,-761,0
268,-250,1
269,-61,1
270,-655,1
271,-763,1
272,-701,0
273,-535,1
274,-185,1
275,-956,0
276,-141,1
277,-398,1
278,-877,0
279,-952,0
280,-294,1
281,-465,1
282,-950,0
283,-887,0
284,-829,0
285,-997,0
286,-177,1
287,-1063,0
288,-304,1
289,-452,1
290,33,1
291,-866,0
292,-819,0
293,-494,1
294,-680,0
295,-716,1
296,-220,1
297,-413,1
298,-312,1
299,-187,1
300,-431,1
