Episode,Rewards,Steps,Success
1,-1545.0,500,0
2,-1290.0,500,0
3,-1240.0,500,0
4,-1145.0,500,0
5,-766.0,426,1
6,-1250.0,500,0
7,-1300.0,500,0
8,-1042.0,457,1
9,-1275.0,500,0
10,-1375.0,500,0
11,-1240.0,500,0
12,-1130.0,500,0
13,-1282.0,492,1
14,-1480.0,500,0
15,-995.0,500,0
16,-1000.0,450,1
17,-1255.0,500,0
18,-1410.0,500,0
19,-1135.0,500,0
20,-1100.0,500,0
21,-1170.0,500,0
22,-1275.0,500,0
23,-1080.0,500,0
24,-1270.0,500,0
25,-122.0,97,1
26,-1170.0,500,0
27,-1130.0,500,0
28,-1195.0,500,0
29,-1280.0,500,0
30,-142.0,97,1
31,-1200.0,500,0
32,-1100.0,500,0
33,-1225.0,500,0
34,-1370.0,500,0
35,-1335.0,500,0
36,-1235.0,500,0
37,-796.0,406,1
38,-1210.0,500,0
39,-1150.0,500,0
40,-1195.0,500,0
41,-1135.0,500,0
42,-1480.0,500,0
43,-1070.0,500,0
44,-1130.0,500,0
45,-995.0,500,0
46,-1170.0,500,0
47,-1185.0,500,0
48,-1100.0,500,0
49,-1015.0,500,0
50,-1220.0,500,0
51,-1066.0,496,1
52,-1315.0,500,0
53,-1145.0,500,0
54,-1280.0,500,0
55,-1085.0,500,0
56,-492.0,262,1
57,-1290.0,500,0
58,-905.0,500,0
59,-1155.0,500,0
60,-1030.0,500,0
61,-1020.0,500,0
62,-1105.0,500,0
63,-1175.0,500,0
64,-1005.0,500,0
65,-1045.0,500,0
66,-482.0,242,1
67,-915.0,500,0
68,-975.0,500,0
69,-804.0,384,1
70,-1200.0,500,0
71,-960.0,500,0
72,-1100.0,500,0
73,-623.0,378,1
74,-1120.0,500,0
75,-1090.0,500,0
76,-920.0,500,0
77,-1115.0,500,0
78,-924.0,489,1
79,-1180.0,500,0
80,-980.0,500,0
81,-1115.0,500,0
82,-905.0,500,0
83,-1055.0,500,0
84,-945.0,500,0
85,-778.0,458,1
86,-1145.0,500,0
87,-681.0,381,1
88,-885.0,500,0
89,-1120.0,500,0
90,-1065.0,500,0
91,-1080.0,500,0
92,-1145.0,500,0
93,-629.0,389,1
94,-970.0,500,0
95,-430.0,315,1
96,-479.0,299,1
97,-1065.0,500,0
98,-945.0,500,0
99,-960.0,500,0
100,-955.0,500,0
101,-920.0,500,0
102,-1080.0,500,0
103,-960.0,500,0
104,-910.0,500,0
105,-1010.0,500,0
106,-424.0,299,1
107,-1055.0,500,0
108,-1070.0,500,0
109,-377.0,227,1
110,-650.0,380,1
111,-825.0,500,0
112,-745.0,500,0
113,-1050.0,500,0
114,-990.0,500,0
115,-965.0,500,0
116,-1125.0,500,0
117,-438.0,378,1
118,-638.0,418,1
119,-870.0,500,0
120,-494.0,359,1
121,-930.0,500,0
122,-679.0,394,1
123,-194.0,184,1
124,-880.0,500,0
125,-285.0,200,1
126,-830.0,500,0
127,-985.0,500,0
128,-1080.0,500,0
129,-950.0,500,0
130,-875.0,500,0
131,-1170.0,500,0
132,-835.0,500,0
133,-686.0,451,1
134,-825.0,500,0
135,-790.0,500,0
136,-825.0,500,0
137,-608.0,418,1
138,-925.0,500,0
139,-210.0,210,1
140,-820.0,500,0
141,-955.0,500,0
142,-945.0,500,0
143,-895.0,500,0
144,-652.0,467,1
145,-930.0,500,0
146,-905.0,500,0
147,-890.0,500,0
148,-790.0,500,0
149,-955.0,500,0
150,-990.0,500,0
151,-910.0,500,0
152,-955.0,500,0
153,-825.0,500,0
154,-458.0,273,1
155,-915.0,500,0
156,-374.0,269,1
157,-366.0,281,1
158,-895.0,500,0
159,-825.0,500,0
160,-830.0,500,0
161,-825.0,500,0
162,-835.0,500,0
163,-1045.0,500,0
164,-945.0,500,0
165,-985.0,500,0
166,-450.0,385,1
167,-875.0,500,0
168,-890.0,500,0
169,-536.0,426,1
170,-417.0,342,1
171,-865.0,500,0
172,-875.0,500,0
173,-900.0,500,0
174,-820.0,500,0
175,-980.0,500,0
176,-800.0,500,0
177,-830.0,500,0
178,-460.0,330,1
179,-870.0,500,0
180,-885.0,500,0
181,-1010.0,500,0
182,-424.0,374,1
183,-780.0,500,0
184,-368.0,323,1
185,-780.0,500,0
186,-810.0,500,0
187,-430.0,300,1
188,-910.0,500,0
189,-492.0,427,1
190,-252.0,237,1
191,-850.0,500,0
192,-900.0,500,0
193,-210.0,230,1
194,-570.0,425,1
195,-108.0,178,1
196,-895.0,500,0
