Episode,Rewards,Steps,Success
1,-188.0,188,1
2,-985.0,500,0
3,-358.0,283,1
4,-528.0,363,1
5,-965.0,500,0
6,-510.0,395,1
7,-820.0,500,0
8,-852.0,492,1
9,-945.0,500,0
10,-486.0,361,1
11,-1085.0,500,0
12,-750.0,500,0
13,-935.0,500,0
14,-960.0,500,0
15,-875.0,500,0
16,-422.0,307,1
17,-106.0,151,1
18,-845.0,500,0
19,-955.0,500,0
20,-960.0,500,0
21,-1070.0,500,0
22,-945.0,500,0
23,-900.0,500,0
24,-454.0,284,1
25,-1025.0,500,0
26,-850.0,500,0
27,-204.0,164,1
28,-328.0,228,1
29,-406.0,331,1
30,-386.0,316,1
31,-162.0,182,1
32,-965.0,500,0
33,-398.0,348,1
34,-910.0,500,0
35,-1025.0,500,0
36,-717.0,457,1
37,-810.0,500,0
38,-885.0,500,0
39,-815.0,500,0
40,-192.0,212,1
41,-875.0,500,0
42,-875.0,500,0
43,-332.0,217,1
44,-564.0,414,1
45,-825.0,500,0
46,-880.0,500,0
47,-282.0,272,1
48,-890.0,500,0
49,-268.0,283,1
50,-810.0,500,0
51,-930.0,500,0
52,-562.0,457,1
53,-960.0,500,0
54,-925.0,500,0
55,-705.0,500,0
56,-1065.0,500,0
57,-900.0,500,0
58,-920.0,500,0
59,-90.0,155,1
60,-362.0,332,1
61,-830.0,500,0
62,-985.0,500,0
63,-790.0,500,0
64,-860.0,500,0
65,-96.0,151,1
66,-845.0,500,0
67,-176.0,211,1
68,-825.0,500,0
69,-226.0,206,1
70,-850.0,500,0
71,-188.0,188,1
72,-240.0,260,1
73,-220.0,255,1
74,-790.0,500,0
75,-880.0,500,0
76,-661.0,476,1
77,-86.0,151,1
78,-68.0,133,1
79,-290.0,230,1
80,-760.0,500,0
81,-545.0,380,1
82,-800.0,500,0
83,-298.0,273,1
84,-875.0,500,0
85,-780.0,500,0
86,-158.0,188,1
87,0.0,100,1
88,-840.0,500,0
89,-34.0,134,1
90,-955.0,500,0
91,-202.0,182,1
92,-860.0,500,0
93,-815.0,500,0
94,-760.0,500,0
95,-810.0,500,0
96,-855.0,500,0
97,-845.0,500,0
98,-140.0,195,1
99,-790.0,500,0
100,-805.0,500,0
101,-58.0,158,1
102,-554.0,414,1
103,-735.0,500,0
104,-675.0,500,0
105,-470.0,395,1
106,-152.0,137,1
107,-382.0,332,1
108,-860.0,500,0
109,-266.0,281,1
110,-730.0,500,0
111,-226.0,196,1
112,-369.0,319,1
113,-810.0,500,0
114,-457.0,327,1
115,-660.0,455,1
116,-530.0,395,1
117,-320.0,325,1
118,-228.0,233,1
119,-46.0,126,1
120,-128.0,158,1
121,-388.0,363,1
122,-242.0,257,1
123,-299.0,254,1
124,-750.0,500,0
125,-362.0,332,1
126,-840.0,500,0
127,-975.0,500,0
128,-190.0,230,1
129,-292.0,267,1
130,-234.0,239,1
131,-636.0,436,1
132,-406.0,326,1
133,-196.0,241,1
134,-222.0,217,1
135,-208.0,208,1
136,-138.0,188,1
137,-840.0,500,0
138,10.0,105,1
139,-182.0,222,1
140,-100.0,135,1
141,-62.0,127,1
142,-38.0,103,1
143,-176.0,201,1
144,-384.0,374,1
145,-625.0,500,0
146,-730.0,500,0
147,-720.0,500,0
148,-710.0,500,0
149,-780.0,500,0
150,-200.0,240,1
151,-229.0,254,1
152,-740.0,500,0
153,-106.0,151,1
154,-254.0,249,1
155,-62.0,127,1
156,-14.0,109,1
157,4.0,101,1
158,22.0,83,1
159,-735.0,500,0
160,-810.0,500,0
161,-240.0,225,1
162,-358.0,308,1
163,-334.0,299,1
164,-705.0,500,0
165,-152.0,207,1
166,-740.0,500,0
167,-68.0,143,1
168,-770.0,500,0
169,-60.0,150,1
170,-222.0,247,1
171,-577.0,457,1
172,34.0,76,1
173,-480.0,400,1
174,44.0,86,1
175,-356.0,311,1
176,-775.0,500,0
177,-344.0,299,1
178,-780.0,500,0
179,-780.0,500,0
180,-50.0,135,1
181,-740.0,500,0
182,-261.0,241,1
183,-270.0,265,1
184,-74.0,124,1
185,-212.0,212,1
186,-476.0,406,1
187,-730.0,500,0
188,14.0,111,1
189,-805.0,500,0
190,-32.0,107,1
191,-511.0,401,1
